NOC,Event,TotalMedals,GoldMedals,rank
COL,Weightlifting Men's Featherweight,3,1,3
CPV,Men's 51kg,1,0,1
CRO,Water Polo Men's Water Polo,26,13,1
CRO,Shooting Men's Trap,2,2,2
CRO,Sailing Men's Two Person Dinghy,2,2,3
CUB,"Wrestling Men's Super-Heavyweight, Greco-Roman",3,3,1
CUB,Men's Canoe Double 1000m Team,2,2,2
CUB,Men's Greco-Roman 130kg,2,2,3
CYP,Sailing Men's One Person Dinghy,1,0,1
CYP,Men's Dinghy,1,0,2
CZE,Athletics Women's Javelin Throw,3,2,1
CZE,Women's Doubles Team,2,2,2
CZE,Mixed Doubles,2,2,3
DEN,Men,16,16,1
DEN,Handball Men's Handball,14,14,2
DEN,Rowing Men's Lightweight Coxless Fours,12,4,3
DMA,Women's Triple Jump,1,1,1
DOM,Boxing Men's Light-Welterweight,1,1,1
DOM,Athletics Men's 400 metres Hurdles,1,1,2
DOM,Women's 400m,2,1,3
ECU,Men's 20km Race Walk,1,1,1
ECU,Men's Road Race,1,1,2
ECU,Women's 76kg,1,1,3
EGY,Men's Individual,2,1,1
EGY,Women's Kumite +61kg,1,1,2
EGY,"Fencing Men's Foil, Individual",1,0,3
EOR,Women's 75kg,1,0,1
ESP,Men,37,22,1
ESP,Women,17,13,2
ESP,Sailing Women's Three Person Keelboat,3,3,3
EST,Women's Épée Team,4,4,1
EST,Athletics Men's Discus Throw,2,1,2
EST,Rowing Men's Quadruple Sculls,4,0,3
ETH,"Athletics Women's 10,000 metres",4,3,1
ETH,"Athletics Women's 5,000 metres",5,2,2
ETH,"Athletics Men's 5,000 metres",3,1,3
FIJ,Rugby Sevens Men's Rugby Sevens,13,13,1
FIJ,Men Team,13,13,2
FIJ,Women Team,13,0,3
FIN,Shooting Women's Trap,1,1,1
FIN,"Shooting Men's Air Rifle, 10 metres",1,0,2
FIN,Sailing Women's Three Person Keelboat,3,0,3
FRA,Handball Men's Handball,45,30,1
FRA,Men,67,28,2
FRA,Men Team,40,28,3
GAB,Taekwondo Men's Heavyweight,1,0,1
GBR,Hockey Women's Hockey,32,16,1
GBR,"Cycling Men's Team Pursuit, 4,000 metres",12,12,2
GBR,Rowing Men's Coxless Fours,12,12,3
GEO,Men -90 kg,2,2,1
GEO,"Wrestling Men's Featherweight, Freestyle",2,1,2
GEO,"Wrestling Men's Middleweight, Greco-Roman",1,1,3
GER,Hockey Men's Hockey,49,33,1
GER,Football Women's Football,34,18,2
GER,"Equestrianism Mixed Three-Day Event, Team",14,10,3
GHA,Men's Feather (52-57kg),1,0,1
GRE,Men's Long Jump,2,2,1
GRE,"Shooting Women's Sporting Pistol, 25 metres",1,1,2
GRE,Gymnastics Men's Rings,1,1,3
GRN,Athletics Men's 400 metres,2,1,1
GRN,Men's 400m,1,0,2
GRN,Men's Decathlon,1,0,3
GUA,Trap Women,1,1,1
GUA,Athletics Men's 20 kilometres Walk,1,0,2
GUA,Trap Men,1,0,3
HKG,Men's Foil Individual,2,2,1
HKG,Women's Épée Individual,1,1,2
HKG,Cycling Women's Keirin,1,0,3
HUN,Water Polo Men's Water Polo,13,13,1
HUN,"Canoeing Women's Kayak Fours, 500 metres",12,8,2
HUN,"Canoeing Women's Kayak Doubles, 500 metres",6,4,3
INA,Badminton Mixed Doubles,4,2,1
INA,Badminton Men's Doubles,2,2,2
INA,Women's Doubles Team,2,2,3
IND,"Shooting Men's Air Rifle, 10 metres",2,1,1
IND,Men's Javelin Throw,2,1,2
IND,"Wrestling Men's Lightweight, Freestyle",1,0,3
IOA,Shooting Men's Double Trap,1,1,1
IOA,Shooting Men's Skeet,1,0,2
IRI,Men's Greco-Roman 67kg,2,2,1
IRI,Weightlifting Men's Super-Heavyweight,2,1,2
IRI,"Wrestling Men's Middleweight, Freestyle",2,1,3
IRL,Lightweight Men's Double Sculls,2,2,1
IRL,Lightweight Men's Double Sculls Team,2,2,2
IRL,Boxing Women's Lightweight,1,1,3
ISL,Handball Men's Handball,14,0,1
ISR,Individual All-Around,1,1,1
ISR,Men's Windsurfing,1,1,2
ISR,Men's Floor Exercise,2,1,3
ITA,Women,13,13,1
ITA,Men's Team Pursuit Team,6,6,2
ITA,Men's 4 x 100m Relay Team,6,6,3
JAM,Athletics Men's 4 x 100 metres Relay,11,11,1
JAM,Women's 4 x 100m Relay Team,6,6,2
JAM,Athletics Men's 100 metres,4,3,3
JOR,Taekwondo Men's Featherweight,1,1,1
JOR,Men's Kumite -67kg,1,0,2
JOR,Men -80kg,1,0,3
JPN,Baseball Team,24,24,1
JPN,Softball Women's Softball,15,15,2
JPN,Softball Team,15,15,3
KAZ,Boxing Men's Welterweight,3,3,1
KAZ,Weightlifting Men's Middle-Heavyweight,2,2,2
KAZ,Weightlifting Women's Featherweight,1,1,3
KEN,Athletics Men's 800 metres,5,3,1
KEN,"Athletics Men's 3,000 metres Steeplechase",5,3,2
KEN,Athletics Men's Marathon,4,2,3
KGZ,"Wrestling Men's Welterweight, Greco-Roman",1,0,1
KGZ,"Wrestling Men's Lightweight, Greco-Roman",1,0,2
KGZ,Women's Freestyle 62kg,2,0,3
KOR,Baseball Men's Baseball,24,24,1
KOR,Archery Women's Team,9,9,2
KOR,Men's Sabre Team,8,8,3
KOS,Judo Women's Half-Lightweight,1,1,1
KOS,Women -57 kg,1,1,2
KOS,Women -48 kg,1,1,3
KSA,"Equestrianism Mixed Jumping, Team",4,0,1
KSA,Men's Kumite +75kg,1,0,2
KUW,Shooting Men's Trap,1,0,1
KUW,Skeet Men,1,0,2
LAT,Men Team,4,4,1
LAT,Cycling Men's BMX,2,2,2
LAT,Athletics Men's Javelin Throw,1,0,3
LCA,Women's 100m,1,1,1
LCA,Women's 200m,1,0,2
LTU,Modern Pentathlon Women's Individual,1,1,1
LTU,Swimming Women's 100 metres Breaststroke,1,1,2
LTU,Athletics Men's Discus Throw,1,0,3
MAR,Men's 3000m Steeplechase,2,2,1
MAR,Athletics Women's 800 metres,1,0,2
MAR,Athletics Men's Marathon,1,0,3
MAS,Cycling Men's Keirin,1,0,1
MAS,Badminton Mixed Doubles,2,0,2
MAS,Diving Women's Synchronized Platform,2,0,3
MDA,Weightlifting Men's Middle-Heavyweight,1,0,1
MDA,Weightlifting Women's Featherweight,1,0,2
MDA,Boxing Men's Bantamweight,1,0,3
MEX,Football Men's Football,16,16,1
MEX,Taekwondo Women's Heavyweight,3,1,2
MEX,Taekwondo Men's Flyweight,1,1,3
MGL,Boxing Men's Bantamweight,1,1,1
MGL,Judo Men's Half-Heavyweight,2,1,2
MGL,Boxing Men's Lightweight,1,0,3
MKD,Men +80kg,1,0,1
MNE,Handball Women's Handball,14,0,1
MRI,Boxing Men's Bantamweight,1,0,1
NAM,Women's 200m,1,0,1
NED,Hockey Women's Hockey,48,32,1
NED,Men,23,23,2
NED,Women Team,18,18,3
NGR,Taekwondo Men's Heavyweight,1,0,1
NGR,Football Men's Football,34,0,2
NGR,Athletics Women's 4 x 100 metres Relay,5,0,3
NIG,Taekwondo Men's Heavyweight,1,0,1
NOR,Handball Women's Handball,42,28,1
NOR,Women,15,15,2
NOR,Men Team,2,2,3
NZL,Women Team,13,13,1
NZL,Women,12,12,2
NZL,Men's Eight Team,9,9,3
PAK,Men's Javelin Throw,1,1,1
PAN,Athletics Men's Long Jump,1,1,1
PAN,Women's 75kg,1,0,2
PER,Men's Dinghy,1,0,1
PHI,Men's Floor Exercise,1,1,1
PHI,Men's Vault,1,1,2
PHI,Women's 55kg,1,1,3
POL,4 x 400m Relay Mixed Team,11,11,1
POL,Rowing Men's Quadruple Sculls,4,4,2
POL,Rowing Women's Double Sculls,4,2,3
POR,Men's Madison,2,2,1
POR,Athletics Men's Triple Jump,1,1,2
POR,Men's Triple Jump,2,1,3
PRK,Judo Women's Half-Lightweight,2,1,1
PRK,Weightlifting Women's Middleweight,2,1,2
PRK,Gymnastics Women's Horse Vault,1,1,3
PUR,Tennis Women's Singles,1,1,1
PUR,Women's 100m Hurdles,2,1,2
PUR,Athletics Men's 400 metres Hurdles,1,0,3
QAT,Men's 96kg,1,1,1
QAT,Men's High Jump,2,1,2
QAT,Athletics Men's High Jump,2,0,3
ROC,Team,8,8,1
ROC,Women's Sabre Team,4,4,2
ROC,Women's Foil Team,4,4,3
ROU,Women's Eight,9,9,1
ROU,"Fencing Women's epee, Team",4,4,2
ROU,Rowing Women's Coxless Pairs,2,2,3
RSA,Rowing Men's Lightweight Coxless Fours,4,4,1
RSA,Swimming Men's 200 metres Butterfly,1,1,2
RSA,Swimming Men's 100 metres Breaststroke,2,1,3
RUS,Synchronized Swimming Women's Team,27,27,1
RUS,Rhythmic Gymnastics Women's Group,17,17,2
RUS,Handball Women's Handball,29,15,3
SGP,Swimming Men's 100 metres Butterfly,1,1,1
SGP,Table Tennis Women's Singles,1,0,2
SGP,Table Tennis Women's Team,6,0,3
SLO,Judo Women's Half-Middleweight,2,2,1
SLO,Athletics Men's Hammer Throw,2,1,2
SLO,Women's Boulder & Lead,1,1,3
SMR,Trap Women,1,0,1
SMR,Trap Mixed Team,2,0,2
SMR,Men's Freestyle 86kg,1,0,3
SRB,Water Polo Men's Water Polo,39,13,1
SRB,Men,25,13,2
SRB,Men Team,17,13,3
SUD,Athletics Men's 800 metres,1,0,1
SUI,Rowing Men's Lightweight Coxless Fours,4,4,1
SUI,Cycling Men's Individual Time Trial,2,2,2
SUI,Tennis Men's Doubles,2,2,3
SVK,"Canoeing Men's Canadian Doubles, Slalom",6,4,1
SVK,"Canoeing Men's Canadian Singles, Slalom",3,1,2
SVK,"Canoeing Women's Kayak Singles, Slalom",1,1,3
SWE,Jumping Team,4,4,1
SWE,Sailing Men's Two Person Keelboat,4,2,2
SWE,Men,2,2,3
SYR,Men's +109kg,1,0,1
THA,Women -49kg,2,2,1
THA,Boxing Men's Flyweight,1,1,2
THA,Weightlifting Women's Featherweight,1,1,3
TJK,Athletics Men's Hammer Throw,1,1,1
TJK,Judo Men's Lightweight,1,0,2
TJK,Boxing Women's Lightweight,1,0,3
TKM,Women's 59kg,1,0,1
TOG,"Canoeing Men's Kayak Singles, Slalom",1,0,1
TPE,Men's Doubles Team,2,2,1
TPE,Men's Doubles,2,2,2
TPE,Weightlifting Women's Featherweight,2,1,3
TTO,Athletics Men's 4 x 100 metres Relay,9,5,1
TTO,Athletics Men's Javelin Throw,2,1,2
TTO,Athletics Men's 4 x 400 metres Relay,4,0,3
TUN,"Swimming Men's 1,500 metres Freestyle",2,1,1
TUN,Swimming Men's 10 kilometres Open Water,1,1,2
TUN,Men's 400m Freestyle,1,1,3
TUR,"Wrestling Men's Super-Heavyweight, Freestyle",1,1,1
TUR,"Athletics Women's 1,500 metres",2,1,2
TUR,"Wrestling Men's Welterweight, Freestyle",1,1,3
UAE,Judo Men's Half-Middleweight,1,0,1
UGA,Athletics Men's Marathon,1,1,1
UGA,Women's 3000m Steeplechase,2,1,2
UGA,Men's 5000m,1,1,3
UKR,Rowing Women's Quadruple Sculls,4,4,1
UKR,"Fencing Women's Sabre, Team",8,4,2
UKR,Women's Sabre Team,4,4,3
USA,Women Team,65,43,1
USA,Basketball Men's Basketball,36,36,2
USA,Basketball Women's Basketball,36,36,3
UZB,"Wrestling Men's Super-Heavyweight, Freestyle",2,2,1
UZB,Men -68kg,2,2,2
UZB,Boxing Men's Light-Flyweight,1,1,3
VEN,"Fencing Men's epee, Individual",1,1,1
VEN,Women's Triple Jump,1,1,2
VEN,Taekwondo Women's Flyweight,1,0,3
VIE,"Shooting Men's Air Pistol, 10 metres",1,1,1
VIE,"Shooting Men's Free Pistol, 50 metres",1,0,2
VIE,Weightlifting Men's Bantamweight,1,0,3
ZAM,Men's 400m,1,0,1
ZIM,Swimming Women's 200 metres Backstroke,1,1,1
ZIM,Swimming Women's 200 metres Individual Medley,1,0,2
ZIM,Swimming Women's 100 metres Backstroke,1,0,3
