NOC,Sport,Event,TotalMedals,GoldMedals,SportEvent,rank
AUT,Sailing,Sailing Mixed Multihull,2,0,Sailing - Sailing Mixed Multihull,1
AUT,Sailing,Mixed Dinghy,2,2,Sailing - Mixed Dinghy,2
AUT,Judo,Women -70 kg,2,0,Judo - Women -70 kg,3
AUT,Sport Climbing,Men's Combined,1,0,Sport Climbing - Men's Combined,4
AUT,Sailing,Men's Kite,1,1,Sailing - Men's Kite,5
AZE,Taekwondo,Taekwondo Men's Welterweight,1,0,Taekwondo - Taekwondo Men's Welterweight,1
AZE,Taekwondo,Taekwondo Women's Flyweight,1,0,Taekwondo - Taekwondo Women's Flyweight,2
AZE,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",1,0,"Wrestling - Wrestling Men's Welterweight, Greco-Roman",3
AZE,Wrestling,"Wrestling Men's Middleweight, Freestyle",1,0,"Wrestling - Wrestling Men's Middleweight, Freestyle",4
AZE,Taekwondo,Taekwondo Men's Heavyweight,1,1,Taekwondo - Taekwondo Men's Heavyweight,5
BAH,Athletics,Athletics Men's 4 x 400 metres Relay,5,0,Athletics - Athletics Men's 4 x 400 metres Relay,1
BAH,Athletics,Athletics Women's 400 metres,1,1,Athletics - Athletics Women's 400 metres,2
BAH,Athletics,Men's 400m,1,1,Athletics - Men's 400m,3
BAH,Athletics,Women's 400m,1,1,Athletics - Women's 400m,4
BDI,Athletics,Athletics Women's 800 metres,1,0,Athletics - Athletics Women's 800 metres,1
BEL,Hockey,Men Team,18,18,Hockey - Men Team,1
BEL,Hockey,Hockey Men's Hockey,16,0,Hockey - Hockey Men's Hockey,2
BEL,Equestrian,Jumping Team,4,0,Equestrian - Jumping Team,3
BEL,Athletics,Women's Heptathlon,3,2,Athletics - Women's Heptathlon,4
BEL,Athletics,Men's Marathon,2,0,Athletics - Men's Marathon,5
BER,Triathlon,Women's Individual,1,1,Triathlon - Women's Individual,1
BLR,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",4,0,"Canoeing - Canoeing Women's Kayak Fours, 500 metres",1
BLR,Canoe Sprint,Women's Kayak Four 500m Team,4,0,Canoe Sprint - Women's Kayak Four 500m Team,2
BLR,Trampolining,Trampolining Men's Individual,1,1,Trampolining - Trampolining Men's Individual,3
BLR,Swimming,Swimming Women's 50 metres Freestyle,1,0,Swimming - Swimming Women's 50 metres Freestyle,4
BLR,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",1,0,"Wrestling - Wrestling Men's Light-Heavyweight, Greco-Roman",5
BOT,Athletics,Men's 4 x 400m Relay Team,6,0,Athletics - Men's 4 x 400m Relay Team,1
BOT,Athletics,Men's 4 x 400m Relay,6,0,Athletics - Men's 4 x 400m Relay,2
BOT,Athletics,Men's 200m,1,1,Athletics - Men's 200m,3
BRA,Football,Men Team,22,22,Football - Men Team,1
BRA,Football,Women,22,0,Football - Women,2
BRA,Football,Football Men's Football,17,17,Football - Football Men's Football,3
BRA,Volleyball,Women,13,0,Volleyball - Women,4
BRA,Volleyball,Volleyball Men's Volleyball,12,12,Volleyball - Volleyball Men's Volleyball,5
BRN,Athletics,"Athletics Women's 3,000 metres Steeplechase",1,1,"Athletics - Athletics Women's 3,000 metres Steeplechase",1
BRN,Athletics,Athletics Women's Marathon,1,0,Athletics - Athletics Women's Marathon,2
BRN,Athletics,"Women's 10,000m",1,0,"Athletics - Women's 10,000m",3
BRN,Athletics,Women's 3000m Steeplechase,1,1,Athletics - Women's 3000m Steeplechase,4
BRN,Weightlifting,Men's +102kg,1,0,Weightlifting - Men's +102kg,5
BUL,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,5,0,Rhythmic Gymnastics - Rhythmic Gymnastics Women's Group,1
BUL,Rhythmic Gymnastics,Group All-Around Team,5,5,Rhythmic Gymnastics - Group All-Around Team,2
BUL,Athletics,Athletics Women's High Jump,1,0,Athletics - Athletics Women's High Jump,3
BUL,Weightlifting,Men's 73kg,1,0,Weightlifting - Men's 73kg,4
BUL,Boxing,Men's 57kg,1,0,Boxing - Men's 57kg,5
BUR,Athletics,Men's Triple Jump,1,0,Athletics - Men's Triple Jump,1
CAN,Football,Women Team,22,22,Football - Women Team,1
CAN,Football,Football Women's Football,18,0,Football - Football Women's Football,2
CAN,Baseball/Softball,Softball Team,15,0,Baseball/Softball - Softball Team,3
CAN,Rugby Sevens,Women,14,0,Rugby Sevens - Women,4
CAN,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,12,0,Rugby Sevens - Rugby Sevens Women's Rugby Sevens,5
CHI,Wrestling,Men's Greco-Roman 130kg,1,0,Wrestling - Men's Greco-Roman 130kg,1
CHI,Shooting,Skeet Women,1,1,Shooting - Skeet Women,2
CHN,Artistic Swimming,Team,17,9,Artistic Swimming - Team,1
CHN,Hockey,Women,17,0,Hockey - Women,2
CHN,Volleyball,Volleyball Women's Volleyball,12,12,Volleyball - Volleyball Women's Volleyball,3
CHN,Synchronized Swimming,Synchronized Swimming Women's Team,9,0,Synchronized Swimming - Synchronized Swimming Women's Team,4
CHN,Artistic Gymnastics,Men's Team,9,0,Artistic Gymnastics - Men's Team,5
CIV,Taekwondo,Taekwondo Men's Welterweight,1,1,Taekwondo - Taekwondo Men's Welterweight,1
CIV,Taekwondo,Taekwondo Women's Welterweight,1,0,Taekwondo - Taekwondo Women's Welterweight,2
CIV,Taekwondo,Men +80kg,1,0,Taekwondo - Men +80kg,3
CIV,Taekwondo,Women -67kg,1,0,Taekwondo - Women -67kg,4
COL,Judo,Judo Women's Middleweight,1,0,Judo - Judo Women's Middleweight,1
COL,Weightlifting,Weightlifting Men's Featherweight,1,1,Weightlifting - Weightlifting Men's Featherweight,2
COL,Athletics,Athletics Women's Triple Jump,1,1,Athletics - Athletics Women's Triple Jump,3
COL,Boxing,Boxing Men's Light-Flyweight,1,0,Boxing - Boxing Men's Light-Flyweight,4
COL,Weightlifting,Weightlifting Men's Lightweight,1,0,Weightlifting - Weightlifting Men's Lightweight,5
CPV,Boxing,Men's 51kg,1,0,Boxing - Men's 51kg,1
CRO,Water Polo,Water Polo Men's Water Polo,13,0,Water Polo - Water Polo Men's Water Polo,1
CRO,Water Polo,Men,13,0,Water Polo - Men,2
CRO,Tennis,Men's Doubles Team,4,2,Tennis - Men's Doubles Team,3
CRO,Sailing,Sailing Men's Two Person Dinghy,2,2,Sailing - Sailing Men's Two Person Dinghy,4
CRO,Rowing,Rowing Men's Double Sculls,2,2,Rowing - Rowing Men's Double Sculls,5
CUB,Taekwondo,Men +80kg,2,0,Taekwondo - Men +80kg,1
CUB,Canoe Sprint,Men's Canoe Double 1000m Team,2,2,Canoe Sprint - Men's Canoe Double 1000m Team,2
CUB,Wrestling,Men's Greco-Roman 130kg,2,2,Wrestling - Men's Greco-Roman 130kg,3
CUB,Athletics,Men's Long Jump,2,0,Athletics - Men's Long Jump,4
CUB,Boxing,Boxing Men's Lightweight,1,0,Boxing - Boxing Men's Lightweight,5
CYP,Sailing,Men's Dinghy,1,0,Sailing - Men's Dinghy,1
CZE,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",4,0,"Canoeing - Canoeing Men's Kayak Fours, 1,000 metres",1
CZE,Fencing,Men's Épée Team,4,0,Fencing - Men's Épée Team,2
CZE,Tennis,Tennis Mixed Doubles,2,0,Tennis - Tennis Mixed Doubles,3
CZE,Tennis,Tennis Women's Doubles,2,0,Tennis - Tennis Women's Doubles,4
CZE,Tennis,Mixed Doubles,2,2,Tennis - Mixed Doubles,5
DEN,Handball,Men,16,16,Handball - Men,1
DEN,Handball,Men Team,15,0,Handball - Men Team,2
DEN,Handball,Women,15,0,Handball - Women,3
DEN,Handball,Handball Men's Handball,14,14,Handball - Handball Men's Handball,4
DEN,Cycling Track,Men's Team Pursuit Team,6,0,Cycling Track - Men's Team Pursuit Team,5
DMA,Athletics,Women's Triple Jump,1,1,Athletics - Women's Triple Jump,1
DOM,Baseball/Softball,Baseball Team,24,0,Baseball/Softball - Baseball Team,1
DOM,Athletics,4 x 400m Relay Mixed Team,5,0,Athletics - 4 x 400m Relay Mixed Team,2
DOM,Athletics,Women's 400m,2,1,Athletics - Women's 400m,3
DOM,Taekwondo,Taekwondo Men's Flyweight,1,0,Taekwondo - Taekwondo Men's Flyweight,4
DOM,Boxing,Men's 80kg,1,0,Boxing - Men's 80kg,5
ECU,Athletics,Marathon Race Walk Relay Mixed,2,0,Athletics - Marathon Race Walk Relay Mixed,1
ECU,Weightlifting,Women's 81kg,1,0,Weightlifting - Women's 81kg,2
ECU,Weightlifting,Women's 71kg,1,0,Weightlifting - Women's 71kg,3
ECU,Athletics,Men's 20km Race Walk,1,1,Athletics - Men's 20km Race Walk,4
ECU,Cycling Road,Men's Road Race,1,1,Cycling Road - Men's Road Race,5
EGY,Modern Pentathlon,Men's Individual,2,1,Modern Pentathlon - Men's Individual,1
EGY,Weightlifting,Weightlifting Men's Middleweight,1,0,Weightlifting - Weightlifting Men's Middleweight,2
EGY,Taekwondo,Taekwondo Women's Featherweight,1,0,Taekwondo - Taekwondo Women's Featherweight,3
EGY,Weightlifting,Weightlifting Women's Light-Heavyweight,1,0,Weightlifting - Weightlifting Women's Light-Heavyweight,4
EGY,Fencing,Men's Épée Individual,1,0,Fencing - Men's Épée Individual,5
EOR,Boxing,Women's 75kg,1,0,Boxing - Women's 75kg,1
ESP,Football,Men Team,22,0,Football - Men Team,1
ESP,Football,Men,22,22,Football - Men,2
ESP,Handball,Men Team,16,0,Handball - Men Team,3
ESP,Handball,Men,15,0,Handball - Men,4
ESP,Water Polo,Women Team,13,0,Water Polo - Women Team,5
EST,Rowing,Rowing Men's Quadruple Sculls,4,0,Rowing - Rowing Men's Quadruple Sculls,1
EST,Fencing,Women's Épée Team,4,4,Fencing - Women's Épée Team,2
EST,Fencing,Women's Épée Individual,1,0,Fencing - Women's Épée Individual,3
ETH,Athletics,"Athletics Women's 10,000 metres",2,1,"Athletics - Athletics Women's 10,000 metres",1
ETH,Athletics,"Men's 10,000m",2,1,"Athletics - Men's 10,000m",2
ETH,Athletics,"Athletics Women's 5,000 metres",1,0,"Athletics - Athletics Women's 5,000 metres",3
ETH,Athletics,"Athletics Men's 5,000 metres",1,0,"Athletics - Athletics Men's 5,000 metres",4
ETH,Athletics,"Athletics Women's 1,500 metres",1,0,"Athletics - Athletics Women's 1,500 metres",5
FIJ,Rugby Sevens,Men,14,0,Rugby Sevens - Men,1
FIJ,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,13,13,Rugby Sevens - Rugby Sevens Men's Rugby Sevens,2
FIJ,Rugby Sevens,Women Team,13,0,Rugby Sevens - Women Team,3
FIJ,Rugby Sevens,Men Team,13,13,Rugby Sevens - Men Team,4
FIN,Boxing,Boxing Women's Lightweight,1,0,Boxing - Boxing Women's Lightweight,1
FIN,Boxing,Women's Light (57-60kg),1,0,Boxing - Women's Light (57-60kg),2
FIN,Swimming,Men's 200m Breaststroke,1,0,Swimming - Men's 200m Breaststroke,3
FRA,Judo,Mixed Team,25,25,Judo - Mixed Team,1
FRA,Football,Men,21,0,Football - Men,2
FRA,Handball,Women,17,0,Handball - Women,3
FRA,Handball,Handball Women's Handball,16,0,Handball - Handball Women's Handball,4
FRA,Handball,Men Team,16,16,Handball - Men Team,5
GBR,Hockey,Women Team,18,0,Hockey - Women Team,1
GBR,Hockey,Hockey Women's Hockey,16,16,Hockey - Hockey Women's Hockey,2
GBR,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,12,0,Rugby Sevens - Rugby Sevens Men's Rugby Sevens,3
GBR,Rowing,Rowing Men's Coxed Eights,9,9,Rowing - Rowing Men's Coxed Eights,4
GBR,Rowing,Rowing Women's Coxed Eights,9,0,Rowing - Rowing Women's Coxed Eights,5
GEO,Weightlifting,Weightlifting Men's Super-Heavyweight,2,1,Weightlifting - Weightlifting Men's Super-Heavyweight,1
GEO,Wrestling,Men's Freestyle 125kg,2,1,Wrestling - Men's Freestyle 125kg,2
GEO,Judo,Men -90 kg,2,2,Judo - Men -90 kg,3
GEO,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",1,0,"Wrestling - Wrestling Men's Welterweight, Greco-Roman",4
GEO,Judo,Judo Men's Middleweight,1,0,Judo - Judo Men's Middleweight,5
GER,Football,Women,20,0,Football - Women,1
GER,Football,Football Women's Football,18,18,Football - Football Women's Football,2
GER,Hockey,Men,18,0,Hockey - Men,3
GER,Football,Football Men's Football,17,0,Football - Football Men's Football,4
GER,Hockey,Hockey Women's Hockey,17,0,Hockey - Hockey Women's Hockey,5
GHA,Boxing,Men's Feather (52-57kg),1,0,Boxing - Men's Feather (52-57kg),1
GRE,Water Polo,Men Team,13,0,Water Polo - Men Team,1
GRE,Sailing,Sailing Men's Two Person Dinghy,2,0,Sailing - Sailing Men's Two Person Dinghy,2
GRE,Artistic Gymnastics,Men's Rings,2,0,Artistic Gymnastics - Men's Rings,3
GRE,Rowing,Lightweight Women's Double Sculls,2,0,Rowing - Lightweight Women's Double Sculls,4
GRE,Athletics,Men's Long Jump,2,2,Athletics - Men's Long Jump,5
GRN,Athletics,Athletics Men's 400 metres,1,0,Athletics - Athletics Men's 400 metres,1
GRN,Athletics,Men's Decathlon,1,0,Athletics - Men's Decathlon,2
GRN,Athletics,Men's 400m,1,0,Athletics - Men's 400m,3
GRN,Athletics,Men's Javelin Throw,1,0,Athletics - Men's Javelin Throw,4
GUA,Shooting,Trap Men,1,0,Shooting - Trap Men,1
GUA,Shooting,Trap Women,1,1,Shooting - Trap Women,2
HKG,Table Tennis,Women's Team,3,0,Table Tennis - Women's Team,1
HKG,Fencing,Men's Foil Individual,2,2,Fencing - Men's Foil Individual,2
HKG,Swimming,Women's 100m Freestyle,2,0,Swimming - Women's 100m Freestyle,3
HKG,Swimming,Women's 200m Freestyle,2,0,Swimming - Women's 200m Freestyle,4
HKG,Cycling Track,Women's Sprint,1,0,Cycling Track - Women's Sprint,5
HUN,Water Polo,Men Team,13,0,Water Polo - Men Team,1
HUN,Water Polo,Women Team,13,0,Water Polo - Women Team,2
HUN,Fencing,Men's Sabre Team,8,0,Fencing - Men's Sabre Team,3
HUN,Fencing,"Fencing Men's epee, Team",4,0,"Fencing - Fencing Men's epee, Team",4
HUN,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",4,4,"Canoeing - Canoeing Women's Kayak Fours, 500 metres",5
INA,Badminton,Badminton Mixed Doubles,2,2,Badminton - Badminton Mixed Doubles,1
INA,Badminton,Women's Doubles Team,2,2,Badminton - Women's Doubles Team,2
INA,Weightlifting,Men's 73kg,2,1,Weightlifting - Men's 73kg,3
INA,Weightlifting,Weightlifting Women's Flyweight,1,0,Weightlifting - Weightlifting Women's Flyweight,4
INA,Weightlifting,Weightlifting Men's Featherweight,1,0,Weightlifting - Weightlifting Men's Featherweight,5
IND,Hockey,Men Team,18,0,Hockey - Men Team,1
IND,Hockey,Men,16,0,Hockey - Men,2
IND,Athletics,Men's Javelin Throw,2,1,Athletics - Men's Javelin Throw,3
IND,Shooting,10m Air Pistol Mixed Team,2,0,Shooting - 10m Air Pistol Mixed Team,4
IND,Wrestling,Men's Freestyle 57kg,2,0,Wrestling - Men's Freestyle 57kg,5
IOA,Shooting,Shooting Men's Double Trap,1,1,Shooting - Shooting Men's Double Trap,1
IOA,Shooting,Shooting Men's Skeet,1,0,Shooting - Shooting Men's Skeet,2
IRI,Wrestling,Men's Freestyle 125kg,2,0,Wrestling - Men's Freestyle 125kg,1
IRI,Wrestling,Men's Freestyle 86kg,2,0,Wrestling - Men's Freestyle 86kg,2
IRI,Wrestling,Men's Greco-Roman 97kg,2,1,Wrestling - Men's Greco-Roman 97kg,3
IRI,Wrestling,Men's Greco-Roman 67kg,2,2,Wrestling - Men's Greco-Roman 67kg,4
IRI,Taekwondo,Taekwondo Women's Featherweight,1,0,Taekwondo - Taekwondo Women's Featherweight,5
IRL,Rowing,Women's Four Team,4,0,Rowing - Women's Four Team,1
IRL,Rowing,Rowing Men's Lightweight Double Sculls,2,0,Rowing - Rowing Men's Lightweight Double Sculls,2
IRL,Rowing,Lightweight Men's Double Sculls,2,2,Rowing - Lightweight Men's Double Sculls,3
IRL,Rowing,Men's Double Sculls,2,0,Rowing - Men's Double Sculls,4
IRL,Rowing,Lightweight Men's Double Sculls Team,2,2,Rowing - Lightweight Men's Double Sculls Team,5
ISR,Judo,Mixed Team,11,0,Judo - Mixed Team,1
ISR,Rhythmic Gymnastics,Group All-Around,5,0,Rhythmic Gymnastics - Group All-Around,2
ISR,Artistic Gymnastics,Men's Floor Exercise,2,1,Artistic Gymnastics - Men's Floor Exercise,3
ISR,Judo,Judo Women's Half-Middleweight,1,0,Judo - Judo Women's Half-Middleweight,4
ISR,Judo,Judo Men's Heavyweight,1,0,Judo - Judo Men's Heavyweight,5
ITA,Water Polo,Water Polo Women's Water Polo,13,0,Water Polo - Water Polo Women's Water Polo,1
ITA,Water Polo,Water Polo Men's Water Polo,13,0,Water Polo - Water Polo Men's Water Polo,2
ITA,Volleyball,Women,13,13,Volleyball - Women,3
ITA,Volleyball,Volleyball Men's Volleyball,12,0,Volleyball - Volleyball Men's Volleyball,4
ITA,Fencing,Women's Épée Team,8,4,Fencing - Women's Épée Team,5
JAM,Athletics,Women's 4 x 400m Relay Team,8,0,Athletics - Women's 4 x 400m Relay Team,1
JAM,Athletics,Athletics Women's 4 x 400 metres Relay,6,0,Athletics - Athletics Women's 4 x 400 metres Relay,2
JAM,Athletics,Athletics Men's 4 x 100 metres Relay,6,6,Athletics - Athletics Men's 4 x 100 metres Relay,3
JAM,Athletics,Athletics Women's 4 x 100 metres Relay,6,0,Athletics - Athletics Women's 4 x 100 metres Relay,4
JAM,Athletics,Women's 4 x 100m Relay Team,6,6,Athletics - Women's 4 x 100m Relay Team,5
JOR,Taekwondo,Taekwondo Men's Featherweight,1,1,Taekwondo - Taekwondo Men's Featherweight,1
JOR,Karate,Men's Kumite -67kg,1,0,Karate - Men's Kumite -67kg,2
JOR,Taekwondo,Men -68kg,1,0,Taekwondo - Men -68kg,3
JOR,Taekwondo,Men -80kg,1,0,Taekwondo - Men -80kg,4
JPN,Judo,Mixed Team,26,0,Judo - Mixed Team,1
JPN,Baseball/Softball,Baseball Team,24,24,Baseball/Softball - Baseball Team,2
JPN,Baseball/Softball,Softball Team,15,15,Baseball/Softball - Softball Team,3
JPN,Basketball,Women Team,12,0,Basketball - Women Team,4
JPN,Artistic Gymnastics,Men's Team,9,5,Artistic Gymnastics - Men's Team,5
KAZ,Shooting,10m Air Rifle Mixed Team,2,0,Shooting - 10m Air Rifle Mixed Team,1
KAZ,Judo,Men -60 kg,2,1,Judo - Men -60 kg,2
KAZ,Swimming,Swimming Men's 200 metres Breaststroke,1,1,Swimming - Swimming Men's 200 metres Breaststroke,3
KAZ,Boxing,Boxing Men's Super-Heavyweight,1,0,Boxing - Boxing Men's Super-Heavyweight,4
KAZ,Judo,Judo Women's Extra-Lightweight,1,0,Judo - Judo Women's Extra-Lightweight,5
KEN,Athletics,Women's 5000m,3,1,Athletics - Women's 5000m,1
KEN,Athletics,Men's 800m,3,2,Athletics - Men's 800m,2
KEN,Athletics,Women's Marathon,3,1,Athletics - Women's Marathon,3
KEN,Athletics,"Athletics Women's 5,000 metres",2,1,"Athletics - Athletics Women's 5,000 metres",4
KEN,Athletics,Women's 3000m Steeplechase,2,0,Athletics - Women's 3000m Steeplechase,5
KGZ,Wrestling,Women's Freestyle 68kg,2,0,Wrestling - Women's Freestyle 68kg,1
KGZ,Wrestling,Men's Greco-Roman 77kg,2,0,Wrestling - Men's Greco-Roman 77kg,2
KGZ,Wrestling,Women's Freestyle 62kg,2,0,Wrestling - Women's Freestyle 62kg,3
KGZ,Boxing,Men's 57kg,1,0,Boxing - Men's 57kg,4
KGZ,Wrestling,Men's Greco-Roman 97kg,1,0,Wrestling - Men's Greco-Roman 97kg,5
KOR,Judo,Mixed Team,11,0,Judo - Mixed Team,1
KOR,Fencing,Men's Sabre Team,8,8,Fencing - Men's Sabre Team,2
KOR,Fencing,Women's Sabre Team,8,0,Fencing - Women's Sabre Team,3
KOR,Archery,Women's Team,6,6,Archery - Women's Team,4
KOR,Archery,Men's Team,6,6,Archery - Men's Team,5
KOS,Judo,Judo Women's Half-Lightweight,1,1,Judo - Judo Women's Half-Lightweight,1
KOS,Judo,Women -48 kg,1,1,Judo - Women -48 kg,2
KOS,Judo,Women -63 kg,1,0,Judo - Women -63 kg,3
KOS,Judo,Women -52 kg,1,0,Judo - Women -52 kg,4
KOS,Judo,Women -57 kg,1,1,Judo - Women -57 kg,5
KSA,Karate,Men's Kumite +75kg,1,0,Karate - Men's Kumite +75kg,1
KUW,Shooting,Skeet Men,1,0,Shooting - Skeet Men,1
LAT,3x3 Basketball,Men Team,4,4,3x3 Basketball - Men Team,1
LAT,Weightlifting,Men's 109kg,1,0,Weightlifting - Men's 109kg,2
LCA,Athletics,Women's 200m,1,0,Athletics - Women's 200m,1
LCA,Athletics,Women's 100m,1,1,Athletics - Women's 100m,2
LTU,3x3 Basketball,Men,4,0,3x3 Basketball - Men,1
LTU,Rowing,Rowing Men's Double Sculls,2,0,Rowing - Rowing Men's Double Sculls,2
LTU,Canoeing,"Canoeing Men's Kayak Doubles, 200 metres",2,0,"Canoeing - Canoeing Men's Kayak Doubles, 200 metres",3
LTU,Rowing,Rowing Women's Double Sculls,2,0,Rowing - Rowing Women's Double Sculls,4
LTU,Weightlifting,Weightlifting Men's Middle-Heavyweight,1,0,Weightlifting - Weightlifting Men's Middle-Heavyweight,5
MAR,Football,Men,19,0,Football - Men,1
MAR,Athletics,Men's 3000m Steeplechase,2,2,Athletics - Men's 3000m Steeplechase,2
MAR,Boxing,Boxing Men's Welterweight,1,0,Boxing - Boxing Men's Welterweight,3
MAS,Badminton,Badminton Mixed Doubles,2,0,Badminton - Badminton Mixed Doubles,1
MAS,Diving,Diving Women's Synchronized Platform,2,0,Diving - Diving Women's Synchronized Platform,2
MAS,Badminton,Badminton Men's Doubles,2,0,Badminton - Badminton Men's Doubles,3
MAS,Badminton,Men's Doubles Team,2,0,Badminton - Men's Doubles Team,4
MAS,Badminton,Men's Doubles,2,0,Badminton - Men's Doubles,5
MDA,Canoe Sprint,Men's Canoe Single 1000m,2,0,Canoe Sprint - Men's Canoe Single 1000m,1
MDA,Judo,Men -66 kg,1,0,Judo - Men -66 kg,2
MDA,Wrestling,Women's Freestyle 57kg,1,0,Wrestling - Women's Freestyle 57kg,3
MDA,Judo,Men -73 kg,1,0,Judo - Men -73 kg,4
MEX,Football,Men Team,22,0,Football - Men Team,1
MEX,Archery,Women's Team,3,0,Archery - Women's Team,2
MEX,Diving,Men's Synchronised 3m Springboard,2,0,Diving - Men's Synchronised 3m Springboard,3
MEX,Diving,Women's Synchronised 10m Platform Team,2,0,Diving - Women's Synchronised 10m Platform Team,4
MEX,Archery,Mixed Team,2,0,Archery - Mixed Team,5
MGL,Judo,Women -48 kg,2,0,Judo - Women -48 kg,1
MGL,Boxing,Boxing Men's Lightweight,1,0,Boxing - Boxing Men's Lightweight,2
MGL,Judo,Judo Women's Lightweight,1,0,Judo - Judo Women's Lightweight,3
MGL,Judo,Men -73 kg,1,0,Judo - Men -73 kg,4
MGL,Wrestling,Women's Freestyle 53kg,1,0,Wrestling - Women's Freestyle 53kg,5
MKD,Taekwondo,Men +80kg,1,0,Taekwondo - Men +80kg,1
NAM,Athletics,Women's 200m,1,0,Athletics - Women's 200m,1
NED,Hockey,Women Team,18,18,Hockey - Women Team,1
NED,Hockey,Men,18,18,Hockey - Men,2
NED,Hockey,Women,17,17,Hockey - Women,3
NED,Hockey,Hockey Women's Hockey,16,0,Hockey - Hockey Women's Hockey,4
NED,Water Polo,Women,13,0,Water Polo - Women,5
NGR,Football,Football Men's Football,18,0,Football - Football Men's Football,1
NGR,Athletics,Women's Long Jump,1,0,Athletics - Women's Long Jump,2
NGR,Wrestling,Women's Freestyle 68kg,1,0,Wrestling - Women's Freestyle 68kg,3
NIG,Taekwondo,Taekwondo Men's Heavyweight,1,0,Taekwondo - Taekwondo Men's Heavyweight,1
NOR,Handball,Women,15,15,Handball - Women,1
NOR,Handball,Women Team,15,0,Handball - Women Team,2
NOR,Handball,Handball Women's Handball,14,0,Handball - Handball Women's Handball,3
NOR,Rowing,Rowing Men's Double Sculls,2,0,Rowing - Rowing Men's Double Sculls,4
NOR,Rowing,Rowing Men's Lightweight Double Sculls,2,0,Rowing - Rowing Men's Lightweight Double Sculls,5
NZL,Rugby Sevens,Men Team,13,0,Rugby Sevens - Men Team,1
NZL,Rugby Sevens,Women Team,13,13,Rugby Sevens - Women Team,2
NZL,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,12,0,Rugby Sevens - Rugby Sevens Women's Rugby Sevens,3
NZL,Rugby Sevens,Women,12,12,Rugby Sevens - Women,4
NZL,Rowing,Women's Eight Team,9,0,Rowing - Women's Eight Team,5
PAK,Athletics,Men's Javelin Throw,1,1,Athletics - Men's Javelin Throw,1
PAN,Boxing,Women's 75kg,1,0,Boxing - Women's 75kg,1
PER,Sailing,Men's Dinghy,1,0,Sailing - Men's Dinghy,1
PHI,Weightlifting,Weightlifting Women's Featherweight,1,0,Weightlifting - Weightlifting Women's Featherweight,1
PHI,Artistic Gymnastics,Men's Floor Exercise,1,1,Artistic Gymnastics - Men's Floor Exercise,2
