Team,Total_Medals
Saint Lucia,2
Teresita,0
Chok,0
Aschenbrodel,8
Lucky Star,0
Sarcelle-3,3
Belgium-1,1
Moseley Wanderers,15
Germania II,6
Great Britain-4,0
Unified Team,220
Guinea,0
Pistoja/Firenze,9
Wannsee,2
LaBandera,0
Vision,4
Konstanz,0
Kiel,0
Canada,810
France-1,14
"\"Marinai della nave da guerra \"\"Varese\"\"\"",24
KNS,0
Calypse II,0
Diablo,0
North Yemen,0
Seychelles,0
France-2,4
Allegro,0
Uzbekistan,51
Kyrgyzstan,12
Samoa,0
Macedonia,1
Crabe I-3,0
Mozambique,2
Czech Republic,74
Andorinha,0
Great Britain-2,28
Cook Islands,0
Brazil,571
Belize,0
White Lady,3
Mari,0
Pierre et Jean-4,0
Kenya,127
Brazil-1,20
Gambia,0
Cercle de l'Aviron Roubaix-4,5
Berliner Ruderclub Sport-Borussia-1,0
Espadarte,2
Lebanon,4
Elsie,4
Carabinier-5,0
Peri,0
Galejan,0
Matrero II,0
"La Salle Turnverein, Chicago",0
Antwerpia V,5
Mauritius-1,0
Libellule de Paris-3,0
"Osborne Swimming Club, Manchester",7
Scotland-2,0
Slovenia,38
Antigua and Barbuda,0
Relampago,0
Dominican Republic,42
Individual Olympic Athletes,5
Canada-2,0
Norway-3,0
Serendipity,0
Chicago Archers,0
Daisy,0
Dolfijn,0
Tanzania,2
Japan,1061
Botswana,14
Kullan,3
Elvis Va,1
Hungary-1,0
Fruits,0
Sweden-1,2
Mouchette-2,10
Aletta,0
Crabe II-12,0
Red Dragon,0
Luxembourg,6
Pousse-Moi Pas VII,0
New Zealand,338
Cornwall,15
Bosnia and Herzegovina,0
Yugoslavia-1,0
Sjhxa,0
Czech Republic-1,10
Acturus,0
England,1
Haiti,6
Widgeon,2
Poland,600
Nina,7
United Arab Republic,2
Portugal,44
Great Britain-1,26
Grifo IV,0
Web II,3
Elisabeth V,3
Cameroon,22
Australia,1542
Papua New Guinea,0
Olen,0
Romania,681
Swedish Star,2
Galatea II,0
Bulgaria,353
Frankfurt Club,15
Solomon Islands,0
Plume-Patte-5,0
Nepal,0
Austria,182
Blue Red,0
Bucintoro Venezia-1,3
Egypt,36
Kazakhstan,86
Costa Rica,4
El Salvador,0
Pigoule,0
"\"Lemzos Thorichton \"\"Spetsai\"\"-4\"",0
Favorite Hammonia-3,6
Nigeria-1,0
Barion/Bari-2,3
Serbia,149
South Africa,155
Rhodesia,0
Nina Claire-2,4
Tritons Lillois-2,5
Burkina Faso,1
SagaII,0
Bermuda,2
EA II,0
Rozenn-3,0
Bahrain,8
Inca,0
Minerva Amsterdam,17
Scotland,0
Bu III,0
Colombia,36
Saar,0
Carabinier-15,1
Winnipeg Shamrocks-1,12
Cambria,0
Bermudes,0
Hungary,1204
Ciocca III,0
Heroine,4
Olle,6
Roddklubben af 1912-1,5
Pakistan,122
Bamba,0
Vanuatu,0
Guinea Bissau,0
Hirondelle,0
Indonesia-2,0
Tornade-16,0
Ali-Baba II,5
Chamukina,0
Paula,0
New York Athletic Club-4,0
Nautikos Omilos-3,0
Slaghoken II,3
Societ Nautique de la Marne,0
Rififi,0
Mauritius,1
Moldova,9
Web III,0
Boston Archers,4
Fram,0
"New College, Oxford-2",9
Vietnam,4
Yangon,0
Netherlands,1056
Mali,0
Heatherbell,7
Scotland-3,11
Scotia,6
Guyoni,3
West Indies Federation,5
Nigeria-2,0
Cuba-1,0
Plume-patte-32,0
Gem IV,2
Cuba-2,0
"Philadelphia Turngemeinde, Philadelphia",6
Pakaria,0
Cercle Nautique de Reims-4,0
Hornet,0
Favorite-17,0
Mignon-29,0
Hb-20,0
Cinara-13,0
Tlaloc,0
Tonga,1
Gyrinus-1,6
Kemphaan,0
United States-4,2
Lancet,0
Bonzo,3
Leander Club #1-1,2
St. Margrite,0
Bulgaria-1,0
Colette-10,0
Freja,0
Kuling,0
Ludwigshafener Ruder Verein-1,5
Paka,0
Jupiter,2
Ingegerd,0
Galopin-20,0
Roklubb Kbnhavn-2,0
Johan,0
Aloha II,0
Roy,0
Shrew II,2
Poland-2,0
Peiraikos Syndesmos-2,0
United States-14,0
Bermudian,0
Lbeck,0
Sif,4
Aphrodite,3
Mad Dog,0
Kosovo,5
Yeoman V,0
Vaxholm Roddklubb,0
Ciss,0
Gullvinge,0
Sylvia,6
Balaton,0
Gitana-21,0
Nurdug II,3
Surprise,0
Baby-9,0
Omilos Ereton Smyrnis,0
Tantalus,0
Miss Nippon IV,0
Slovakia-2,0
St. Louis Southwest Turnverein #2-3,5
Tan-Fe-Pah,3
Ylliam II,0
Minotaur,3
Xantippa,0
India-2,0
Lesotho,0
Guanahani,0
Bem II,2
Century Boat Club-1,4
30. Februar,0
Dresden,0
Ilderim,0
Pannonia RC/National RC,0
Bohemia-1,0
Austria-2,0
Sheerio,0
Tuvalu,0
Leander Club #2-2,2
Sweden-4,0
Socit Nautique de la Basse Seine-2,0
Newfoundland,0
Whisper,0
East Germany-3,0
Freddy,0
Patricia,0
Brigantia,0
Escapade,0
Finland-1,0
Proteus II,0
K.S.S.S. 1912-2,0
Rowing Club Castillon-3,3
Milwaukee Athletic Club-1,5
Berliner Ruderclub,2
Femur-18,0
Jet,0
Bohemia-3,0
Unknown,0
A North American Team,4
Tomahawk II,0
Bulgaria-2,0
Apache,0
Colette-12,0
Knigsberg,0
Oleander II,0
Mizar,0
Vinga-1,5
Naiad,0
Eleda,7
Paka V,0
Irene,5
Feo,0
Whirlaway,0
May-Be 1960,0
Pasodoble,0
France-4,0
Omilos Ereton Peiraios-2,0
Laurea-1,1
Finn II,0
Miss Denmark 1964,0
Mascotte,3
Korshun,0
Tutti V,5
Gem III,0
Gem VII,0
Don Schufro,1
Australia/Great Britain,2
Helsingfors R. K.,0
United States/Great Britain,2
Argeste,0
Chance,0
Frip IV,0
Kitty-1,8
Denmark-3,0
Ravenswood Boat Club-2,2
Femur-1,1
Springbok,0
Sandra,0
Boreas,0
Miss Nippon V,0
Hb-24,0
May Be,5
Llanoria,11
Galopin-9,0
Boer Team,0
Seawanhaka Boat Club-1,2
Australia-3,0
Tu-Fri,0
Emily,5
Andromeda,0
"South St Louis Turnverein, St Louis",0
Favorite-1,8
Oxalis,0
Pan II,0
"Milwaukee Turnverein, Milwaukee",0
Beatrijs III-1,3
"Socialer Turnverein, Detroit",0
Belarus-2,0
Deutscher Schwimm Verband Berlin,4
Spirit III,0
Impala,0
Ubu,0
Salamander,0
Pam,0
Alain IV,0
Ariel,0
Baby-1,2
Syndi,0
Mignon-3,1
Rika II,0
Pan-Hellenic Athletic Club,0
West Germany-2,0
Joy,2
Marmi II-1,3
Encore,3
"Germania Ruder Club, Hamburg",0
Skidoo,0
United States-5,0
Rhythm,0
Aretusa,0
South Sudan,0
Germany-3,0
Silja,6
Gitana-2,10
Essen,0
"Central Turnverein, Chicago",6
Finland-2,0
Missouri Athletic Club-3,11
Viking,0
Struten,0
Germany/United States,0
"Turnverein Vorwrts, Chicago",0
Vento Sul,0
West Germany-3,0
Djinn,5
South Korea-1,30
Brat,0
Bajazzo,0
St. Louis Amateur Athletic Association,12
Three Leaves,0
Ireland-3,4
Serbia-2,0
Augsburg,0
Zut,3
Alcaid,0
Czechoslovakia-2,0
MitaII,0
Raili,0
Quicksilver-2,0
Nirefs,3
Kannibaltje,0
Skum,2
Sass-2,0
Fram III,0
"\"Phalainis ton Thorichtou \"\"Hydra\"\"-2\"",24
Viktoriya,0
Inga-Lill XXXXIII,0
Nirwana,0
"Concordia Turnverein, St Louis",0
Dylan-2,0
Socit Nautique de la Basse Seine-1,8
Chaje II,0
Sorais-2,5
Trintel II,0
Bella,0
Gem II,0
Sydney Rowing Club,0
Pupilles de Neptune de Lille #1-3,0
Moorina,0
"Germania Ruder Club, Hamburg-2",5
"Bagatelle Polo Club, Paris",4
Thalatta,0
Univ. of Brussels,11
Unique,0
Yeoman,0
Cha-Cha III,0
Sans Atout-1,5
Belgium-3,0
Bona Fide,3
Hollandia,6
Hungary-2,0
Tramontane,0
Espardate,0
Unified Team-1,0
Gyp-6,0
Bim,0
Bonaparte,1
Frimousse,1
Gyp-23,0
Slovenia-2,0
Nrnberg,1
Hayama,0
John B,0
Slovakia-1,0
Potomac Archers,4
Mythilus,0
Neptun II,0
France/Great Britain,2
Bellatrix XIII,0
Singapore-2,0
Jeannette-18,0
East Germany-2,0
Societ Nautique de la Marne-1,2
Scamasaxe-34,0
Floresco,0
Riccar,0
Jeanette-25,0
Combine,0
Ireland-1,0
Sildra-1,4
Mebi,0
Olimpia,0
Mascaret-4,0
Rush V,3
Barco Deloro,0
Nephos I,0
Lully II,5
Starita,2
Lynn,0
Tengiri,0
Mascaret-28,0
United States-12,0
Rambo,0
Ralia,5
Noreg,0
Crocodile-11,0
Nan-2,0
Argo II,0
Turquoise-1,1
Angerburg,0
Rostock,1
Hannover,0
Club Nautique de Lyon-2,4
Bohemia-2,0
Norman-1,0
Turquoise-3,0
Stade Franais AC-2,0
Hong Kong-2,2
United States-8,0
Amulet-3,0
Red Indian,0
Suzon IV-5,0
Three Star Too,0
Bellatrix IX,0
Denmark-4,0
Olympion,0
Alcyon-6,0
Scamasaxe-3,2
Sibindi-2,0
Pupilles de Neptune de Lille-1,4
Brentina,0
Spirit VI,0
Slovenia-1,0
Kathleen,2
Sunshine,2
Heidelberg,0
Suzon IV-39,0
"\"Phalainis ton Thorichtou \"\"Psara\"\"-3\"",0
Kalayaan,0
Dick-8,0
Japan-3,0
Amulet-7,0
Rush VII,3
Lucky,0
Pirouette-31,0
Ethnikos Gymnastikos Syllogos,2
Macky VI,3
Ukraine-1,0
Subbnboana,0
Scamasaxe-2,2
Poland-3,0
Clearwater,1
Alcyon-7,0
State VI,0
Omas Helliniki P. S.,8
North Korea-2,0
Leipzig,0
Holland,0
Crocodile-13,0
Zefyros,0
Pirouette-5,0
Pandora,2
Tineke,0
Roehampton-1,4
Ducky-16,0
Ariette-8,0
Gustel X,3
Greenoaks Dundee,0
Lyn-2,5
Humbug V,2
Kln,0
Ma'Lindo,2
Fantlet-7,1
Fantlet-2,0
Hojwa,3
Wendehals,0
Marie-Tim,0
Thailand-1,0
Comanche,2
Margaret,2
Latvia-1,2
Myojo,0
Thailand-2,0
Tulilind,0
Ariette-10,0
Merope III,2
Marsouin-8,0
Voloira II,0
Bremen,0
Souriceau-4,0
Grifone,0
Nokaut II,0
Merope,2
Atalanta Boat Club-2,2
Twinkle,0
New York Athletic Club,5
Manana,0
Orion,0
Rampage,0
Gustl XI,0
Ravel,0
Demi-Mondaine-17,0
Enotria,0
Barrenjoey,3
Nadine,1
Maryke,0
Scaup,0
Pop Art,0
Lady C,2
Quando Quando,0
Maid of Lebanon,0
Donar III,0
Frieda,0
Notavel,0
Danaldo,0
Unified Team-2,0
Rose Pompon,3
Almaz,0
Galopin De La Font,0
Glisten,0
Demi-Mondaine-15,0
United States-11,0
South Africa-1,0
Latvia-2,0
Verveine-41,0
Bohemia/Great Britain,2
Titia,0
Legionario,0
Astrid III,0
Hi-Hi,4
Falcon VI,0
Souriceau-38,0
Danuta,0
Diabolo St Maurice,0
Persey,0
Pimm,0
Cicely-1,1
Harmony,0
Atalanta Boat Club-1,2
Verveine-19,0
Ducky-4,0
Marsouin-26,0
Independent Rowing Club-3,2
Mainz,0
United States-13,0
C.V.A.-7,0
Cuxhaven,0
Sea Dog-2,0
Potsdam,1
Camille,1
Hungary-3,0
Hakahana,0
Brandenburg,0
Salinero,1
Singy-7,0
Sunrise,1
Sjovinge,0
Lasha,0
Dow Jones,0
Hilarius,2
Hamburg,0
Freia-19,0
Solos Carex,0
Mamie-6,0
Mamie-4,0
Giselle-6,0
Glider,2
Mac Miche,3
Squid III,0
Danzig,0
Yugoslavia-2,0
Formosa,1
Singy-37,0
Falcon IV,2
Singapore-1,0
Serbia-1,0
Satchmo,1
Freia-5,0
Greece-4,0
Windor,0
Ardilla,0
Vim III,0
C.V.A.-14,0
Côte d'Ivoire,1
Cabo Verde,1
St Kitts and Nevis,0
IR Iran,12
Ivory Coast,1
DR Congo,0
"Hong Kong, China",12
East Timor,0
São Tomé and Príncipe,0
Türkiye,11
UA Emirates,0
The Gambia,0
Brunei Darussalam,0
Timor-Leste,0
Lao PDR,0
DPR Korea,8
Refugee Olympic Team,0
Centr Afric Re,0
"Virgin Islands, B",0
StVincent&Grenadines,0
Virgin Islands,0
AIN,6
Czechia,9
China-3,0
Congo,0
Digby,1
Democratic Republic of the Congo,0
Republic of the Congo,0
EOR,1
Eswatini,0
North Macedonia,1
Republic of Moldova,4
Guinea-Bissau,0
Bosnia & Herzegovina,0
Korea,58
Micronesia,0
Sao Tome & Principe,0
"Virgin Islands, US",0
