NOC,Sport,Event,TotalMedals,GoldMedals,SportEvent,rank
CZE,Fencing,Men's Épée Team,4,0,Fencing - Men's Épée Team,3
CZE,Rowing,Rowing Men's Single Sculls,3,0,Rowing - Rowing Men's Single Sculls,4
CZE,Athletics,Athletics Women's Javelin Throw,3,2,Athletics - Athletics Women's Javelin Throw,5
DEN,Handball,Men,16,16,Handball - Men,1
DEN,Handball,Men Team,15,0,Handball - Men Team,2
DEN,Handball,Women,15,0,Handball - Women,3
DEN,Handball,Handball Men's Handball,14,14,Handball - Handball Men's Handball,4
DEN,Rowing,Rowing Men's Lightweight Coxless Fours,12,4,Rowing - Rowing Men's Lightweight Coxless Fours,5
DMA,Athletics,Women's Triple Jump,1,1,Athletics - Women's Triple Jump,1
DOM,Baseball/Softball,Baseball Team,24,0,Baseball/Softball - Baseball Team,1
DOM,Athletics,4 x 400m Relay Mixed Team,5,0,Athletics - 4 x 400m Relay Mixed Team,2
DOM,Taekwondo,Taekwondo Men's Flyweight,2,0,Taekwondo - Taekwondo Men's Flyweight,3
DOM,Athletics,Women's 400m,2,1,Athletics - Women's 400m,4
DOM,Boxing,Boxing Men's Light-Welterweight,1,1,Boxing - Boxing Men's Light-Welterweight,5
ECU,Athletics,Marathon Race Walk Relay Mixed,2,0,Athletics - Marathon Race Walk Relay Mixed,1
ECU,Athletics,Athletics Men's 20 kilometres Walk,1,0,Athletics - Athletics Men's 20 kilometres Walk,2
ECU,Weightlifting,Women's 81kg,1,0,Weightlifting - Women's 81kg,3
ECU,Weightlifting,Women's 71kg,1,0,Weightlifting - Women's 71kg,4
ECU,Athletics,Men's 20km Race Walk,1,1,Athletics - Men's 20km Race Walk,5
EGY,Modern Pentathlon,Men's Individual,2,1,Modern Pentathlon - Men's Individual,1
EGY,Fencing,"Fencing Men's Foil, Individual",1,0,"Fencing - Fencing Men's Foil, Individual",2
EGY,Weightlifting,Weightlifting Men's Middleweight,1,0,Weightlifting - Weightlifting Men's Middleweight,3
EGY,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",1,0,"Wrestling - Wrestling Men's Light-Heavyweight, Greco-Roman",4
EGY,Taekwondo,Taekwondo Women's Featherweight,1,0,Taekwondo - Taekwondo Women's Featherweight,5
EOR,Boxing,Women's 75kg,1,0,Boxing - Women's 75kg,1
ESP,Basketball,Basketball Men's Basketball,36,0,Basketball - Basketball Men's Basketball,1
ESP,Football,Men Team,22,0,Football - Men Team,2
ESP,Football,Men,22,22,Football - Men,3
ESP,Synchronized Swimming,Synchronized Swimming Women's Team,16,0,Synchronized Swimming - Synchronized Swimming Women's Team,4
ESP,Hockey,Hockey Men's Hockey,16,0,Hockey - Hockey Men's Hockey,5
EST,Rowing,Rowing Men's Quadruple Sculls,4,0,Rowing - Rowing Men's Quadruple Sculls,1
EST,Fencing,Women's Épée Team,4,4,Fencing - Women's Épée Team,2
EST,Rowing,Rowing Men's Double Sculls,2,0,Rowing - Rowing Men's Double Sculls,3
EST,Athletics,Athletics Men's Discus Throw,2,1,Athletics - Athletics Men's Discus Throw,4
EST,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",1,0,"Wrestling - Wrestling Men's Super-Heavyweight, Greco-Roman",5
ETH,Athletics,"Athletics Women's 5,000 metres",5,2,"Athletics - Athletics Women's 5,000 metres",1
ETH,Athletics,"Athletics Women's 10,000 metres",4,3,"Athletics - Athletics Women's 10,000 metres",2
ETH,Athletics,"Athletics Men's 10,000 metres",4,1,"Athletics - Athletics Men's 10,000 metres",3
ETH,Athletics,"Athletics Men's 5,000 metres",3,1,"Athletics - Athletics Men's 5,000 metres",4
ETH,Athletics,Athletics Women's Marathon,2,1,Athletics - Athletics Women's Marathon,5
FIJ,Rugby Sevens,Men,14,0,Rugby Sevens - Men,1
FIJ,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,13,13,Rugby Sevens - Rugby Sevens Men's Rugby Sevens,2
FIJ,Rugby Sevens,Women Team,13,0,Rugby Sevens - Women Team,3
FIJ,Rugby Sevens,Men Team,13,13,Rugby Sevens - Men Team,4
FIN,Sailing,Sailing Women's Three Person Keelboat,3,0,Sailing - Sailing Women's Three Person Keelboat,1
FIN,Athletics,Athletics Men's Javelin Throw,2,0,Athletics - Athletics Men's Javelin Throw,2
FIN,Rowing,Rowing Women's Lightweight Double Sculls,2,0,Rowing - Rowing Women's Lightweight Double Sculls,3
FIN,Shooting,"Shooting Men's Air Rifle, 10 metres",1,0,"Shooting - Shooting Men's Air Rifle, 10 metres",4
FIN,Shooting,Shooting Women's Trap,1,1,Shooting - Shooting Women's Trap,5
FRA,Handball,Handball Men's Handball,45,30,Handball - Handball Men's Handball,1
FRA,Judo,Mixed Team,25,25,Judo - Mixed Team,2
FRA,Football,Men,21,0,Football - Men,3
FRA,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,18,6,Swimming - Swimming Men's 4 x 100 metres Freestyle Relay,4
FRA,Handball,Women,17,0,Handball - Women,5
GAB,Taekwondo,Taekwondo Men's Heavyweight,1,0,Taekwondo - Taekwondo Men's Heavyweight,1
GBR,Hockey,Hockey Women's Hockey,32,16,Hockey - Hockey Women's Hockey,1
GBR,Rowing,Rowing Men's Coxed Eights,27,9,Rowing - Rowing Men's Coxed Eights,2
GBR,Hockey,Women Team,18,0,Hockey - Women Team,3
GBR,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",12,12,"Cycling - Cycling Men's Team Pursuit, 4,000 metres",4
GBR,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,12,0,Rugby Sevens - Rugby Sevens Men's Rugby Sevens,5
GEO,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",2,0,"Wrestling - Wrestling Men's Welterweight, Greco-Roman",1
GEO,Wrestling,"Wrestling Men's Heavyweight, Freestyle",2,0,"Wrestling - Wrestling Men's Heavyweight, Freestyle",2
GEO,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",2,1,"Wrestling - Wrestling Men's Light-Heavyweight, Freestyle",3
GEO,Judo,Judo Men's Middleweight,2,1,Judo - Judo Men's Middleweight,4
GEO,Wrestling,"Wrestling Men's Featherweight, Freestyle",2,1,"Wrestling - Wrestling Men's Featherweight, Freestyle",5
GER,Hockey,Hockey Men's Hockey,49,33,Hockey - Hockey Men's Hockey,1
GER,Football,Football Women's Football,34,18,Football - Football Women's Football,2
GER,Football,Women,20,0,Football - Women,3
GER,Rowing,Rowing Men's Coxed Eights,18,9,Rowing - Rowing Men's Coxed Eights,4
GER,Hockey,Men,18,0,Hockey - Men,5
GHA,Boxing,Men's Feather (52-57kg),1,0,Boxing - Men's Feather (52-57kg),1
GRE,Water Polo,Men Team,13,0,Water Polo - Men Team,1
GRE,Sailing,Sailing Women's Three Person Keelboat,3,0,Sailing - Sailing Women's Three Person Keelboat,2
GRE,Rowing,Rowing Women's Lightweight Double Sculls,2,0,Rowing - Rowing Women's Lightweight Double Sculls,3
GRE,Sailing,Sailing Men's Two Person Dinghy,2,0,Sailing - Sailing Men's Two Person Dinghy,4
GRE,Rowing,Rowing Men's Lightweight Double Sculls,2,0,Rowing - Rowing Men's Lightweight Double Sculls,5
GRN,Athletics,Athletics Men's 400 metres,2,1,Athletics - Athletics Men's 400 metres,1
GRN,Athletics,Men's Decathlon,1,0,Athletics - Men's Decathlon,2
GRN,Athletics,Men's 400m,1,0,Athletics - Men's 400m,3
GRN,Athletics,Men's Javelin Throw,1,0,Athletics - Men's Javelin Throw,4
GUA,Athletics,Athletics Men's 20 kilometres Walk,1,0,Athletics - Athletics Men's 20 kilometres Walk,1
GUA,Shooting,Trap Men,1,0,Shooting - Trap Men,2
GUA,Shooting,Trap Women,1,1,Shooting - Trap Women,3
HKG,Table Tennis,Women's Team,3,0,Table Tennis - Women's Team,1
HKG,Fencing,Men's Foil Individual,2,2,Fencing - Men's Foil Individual,2
HKG,Swimming,Women's 100m Freestyle,2,0,Swimming - Women's 100m Freestyle,3
HKG,Swimming,Women's 200m Freestyle,2,0,Swimming - Women's 200m Freestyle,4
HKG,Cycling,Cycling Women's Keirin,1,0,Cycling - Cycling Women's Keirin,5
HUN,Water Polo,Water Polo Men's Water Polo,13,13,Water Polo - Water Polo Men's Water Polo,1
HUN,Water Polo,Men Team,13,0,Water Polo - Men Team,2
HUN,Water Polo,Women Team,13,0,Water Polo - Women Team,3
HUN,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",12,8,"Canoeing - Canoeing Women's Kayak Fours, 500 metres",4
HUN,Fencing,Men's Sabre Team,8,0,Fencing - Men's Sabre Team,5
INA,Badminton,Badminton Mixed Doubles,4,2,Badminton - Badminton Mixed Doubles,1
INA,Weightlifting,Weightlifting Men's Featherweight,3,0,Weightlifting - Weightlifting Men's Featherweight,2
INA,Badminton,Badminton Men's Doubles,2,2,Badminton - Badminton Men's Doubles,3
INA,Badminton,Women's Doubles Team,2,2,Badminton - Women's Doubles Team,4
INA,Weightlifting,Men's 73kg,2,1,Weightlifting - Men's 73kg,5
IND,Hockey,Men Team,18,0,Hockey - Men Team,1
IND,Hockey,Men,16,0,Hockey - Men,2
IND,Shooting,"Shooting Men's Air Rifle, 10 metres",2,1,"Shooting - Shooting Men's Air Rifle, 10 metres",3
IND,Wrestling,"Wrestling Men's Welterweight, Freestyle",2,0,"Wrestling - Wrestling Men's Welterweight, Freestyle",4
IND,Badminton,Badminton Women's Singles,2,0,Badminton - Badminton Women's Singles,5
IOA,Shooting,Shooting Men's Double Trap,1,1,Shooting - Shooting Men's Double Trap,1
IOA,Shooting,Shooting Men's Skeet,1,0,Shooting - Shooting Men's Skeet,2
IRI,Weightlifting,Weightlifting Men's Super-Heavyweight,2,1,Weightlifting - Weightlifting Men's Super-Heavyweight,1
IRI,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",2,0,"Wrestling - Wrestling Men's Super-Heavyweight, Freestyle",2
IRI,Wrestling,"Wrestling Men's Middleweight, Freestyle",2,1,"Wrestling - Wrestling Men's Middleweight, Freestyle",3
IRI,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",2,1,"Wrestling - Wrestling Men's Heavyweight, Greco-Roman",4
IRI,Weightlifting,Weightlifting Men's Light-Heavyweight,2,1,Weightlifting - Weightlifting Men's Light-Heavyweight,5
IRL,Rowing,Women's Four Team,4,0,Rowing - Women's Four Team,1
IRL,Boxing,Boxing Men's Light-Flyweight,2,0,Boxing - Boxing Men's Light-Flyweight,2
IRL,Rowing,Rowing Men's Lightweight Double Sculls,2,0,Rowing - Rowing Men's Lightweight Double Sculls,3
IRL,Rowing,Lightweight Men's Double Sculls,2,2,Rowing - Lightweight Men's Double Sculls,4
IRL,Rowing,Men's Double Sculls,2,0,Rowing - Men's Double Sculls,5
ISL,Handball,Handball Men's Handball,14,0,Handball - Handball Men's Handball,1
ISR,Judo,Mixed Team,11,0,Judo - Mixed Team,1
ISR,Rhythmic Gymnastics,Group All-Around,5,0,Rhythmic Gymnastics - Group All-Around,2
ISR,Artistic Gymnastics,Men's Floor Exercise,2,1,Artistic Gymnastics - Men's Floor Exercise,3
ISR,Judo,Judo Women's Half-Middleweight,1,0,Judo - Judo Women's Half-Middleweight,4
ISR,Judo,Judo Men's Heavyweight,1,0,Judo - Judo Men's Heavyweight,5
ITA,Water Polo,Water Polo Men's Water Polo,26,0,Water Polo - Water Polo Men's Water Polo,1
ITA,Volleyball,Volleyball Men's Volleyball,24,0,Volleyball - Volleyball Men's Volleyball,2
ITA,Water Polo,Water Polo Women's Water Polo,13,0,Water Polo - Water Polo Women's Water Polo,3
ITA,Volleyball,Women,13,13,Volleyball - Women,4
ITA,Fencing,"Fencing Men's epee, Team",8,0,"Fencing - Fencing Men's epee, Team",5
JAM,Athletics,Athletics Women's 4 x 400 metres Relay,16,0,Athletics - Athletics Women's 4 x 400 metres Relay,1
JAM,Athletics,Athletics Women's 4 x 100 metres Relay,12,0,Athletics - Athletics Women's 4 x 100 metres Relay,2
JAM,Athletics,Athletics Men's 4 x 100 metres Relay,11,11,Athletics - Athletics Men's 4 x 100 metres Relay,3
JAM,Athletics,Women's 4 x 400m Relay Team,8,0,Athletics - Women's 4 x 400m Relay Team,4
JAM,Athletics,Athletics Women's 100 metres,7,3,Athletics - Athletics Women's 100 metres,5
JOR,Taekwondo,Taekwondo Men's Featherweight,1,1,Taekwondo - Taekwondo Men's Featherweight,1
JOR,Karate,Men's Kumite -67kg,1,0,Karate - Men's Kumite -67kg,2
JOR,Taekwondo,Men -68kg,1,0,Taekwondo - Men -68kg,3
JOR,Taekwondo,Men -80kg,1,0,Taekwondo - Men -80kg,4
JPN,Judo,Mixed Team,26,0,Judo - Mixed Team,1
JPN,Baseball/Softball,Baseball Team,24,24,Baseball/Softball - Baseball Team,2
JPN,Football,Football Women's Football,18,0,Football - Football Women's Football,3
JPN,Gymnastics,Gymnastics Men's Team All-Around,16,5,Gymnastics - Gymnastics Men's Team All-Around,4
JPN,Softball,Softball Women's Softball,15,15,Softball - Softball Women's Softball,5
KAZ,Weightlifting,Weightlifting Women's Middleweight,3,1,Weightlifting - Weightlifting Women's Middleweight,1
KAZ,Boxing,Boxing Men's Light-Heavyweight,3,0,Boxing - Boxing Men's Light-Heavyweight,2
KAZ,Boxing,Boxing Men's Welterweight,3,3,Boxing - Boxing Men's Welterweight,3
KAZ,Boxing,Boxing Men's Super-Heavyweight,2,0,Boxing - Boxing Men's Super-Heavyweight,4
KAZ,Weightlifting,Weightlifting Men's Middle-Heavyweight,2,2,Weightlifting - Weightlifting Men's Middle-Heavyweight,5
KEN,Athletics,Athletics Men's 800 metres,5,3,Athletics - Athletics Men's 800 metres,1
KEN,Athletics,"Athletics Men's 3,000 metres Steeplechase",5,3,"Athletics - Athletics Men's 3,000 metres Steeplechase",2
KEN,Athletics,"Athletics Women's 10,000 metres",4,0,"Athletics - Athletics Women's 10,000 metres",3
KEN,Athletics,Athletics Men's Marathon,4,2,Athletics - Athletics Men's Marathon,4
KEN,Athletics,"Athletics Women's 5,000 metres",3,1,"Athletics - Athletics Women's 5,000 metres",5
KGZ,Wrestling,Women's Freestyle 68kg,2,0,Wrestling - Women's Freestyle 68kg,1
KGZ,Wrestling,Men's Greco-Roman 77kg,2,0,Wrestling - Men's Greco-Roman 77kg,2
KGZ,Wrestling,Women's Freestyle 62kg,2,0,Wrestling - Women's Freestyle 62kg,3
KGZ,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",1,0,"Wrestling - Wrestling Men's Welterweight, Greco-Roman",4
KGZ,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",1,0,"Wrestling - Wrestling Men's Lightweight, Greco-Roman",5
KOR,Baseball,Baseball Men's Baseball,24,24,Baseball - Baseball Men's Baseball,1
KOR,Football,Football Men's Football,18,0,Football - Football Men's Football,2
KOR,Handball,Handball Women's Handball,14,0,Handball - Handball Women's Handball,3
KOR,Judo,Mixed Team,11,0,Judo - Mixed Team,4
KOR,Archery,Archery Women's Team,9,9,Archery - Archery Women's Team,5
KOS,Judo,Judo Women's Half-Lightweight,1,1,Judo - Judo Women's Half-Lightweight,1
KOS,Judo,Women -48 kg,1,1,Judo - Women -48 kg,2
KOS,Judo,Women -63 kg,1,0,Judo - Women -63 kg,3
KOS,Judo,Women -52 kg,1,0,Judo - Women -52 kg,4
KOS,Judo,Women -57 kg,1,1,Judo - Women -57 kg,5
KSA,Equestrianism,"Equestrianism Mixed Jumping, Team",4,0,"Equestrianism - Equestrianism Mixed Jumping, Team",1
KSA,Karate,Men's Kumite +75kg,1,0,Karate - Men's Kumite +75kg,2
KUW,Shooting,Shooting Men's Trap,1,0,Shooting - Shooting Men's Trap,1
KUW,Shooting,Skeet Men,1,0,Shooting - Skeet Men,2
LAT,3x3 Basketball,Men Team,4,4,3x3 Basketball - Men Team,1
LAT,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,2,0,Beach Volleyball - Beach Volleyball Men's Beach Volleyball,2
LAT,Cycling,Cycling Men's BMX,2,2,Cycling - Cycling Men's BMX,3
LAT,Athletics,Athletics Men's Javelin Throw,1,0,Athletics - Athletics Men's Javelin Throw,4
LAT,Weightlifting,Weightlifting Men's Super-Heavyweight,1,0,Weightlifting - Weightlifting Men's Super-Heavyweight,5
LCA,Athletics,Women's 200m,1,0,Athletics - Women's 200m,1
LCA,Athletics,Women's 100m,1,1,Athletics - Women's 100m,2
LTU,3x3 Basketball,Men,4,0,3x3 Basketball - Men,1
LTU,Rowing,Rowing Men's Double Sculls,2,0,Rowing - Rowing Men's Double Sculls,2
LTU,Modern Pentathlon,Modern Pentathlon Men's Individual,2,0,Modern Pentathlon - Modern Pentathlon Men's Individual,3
LTU,Canoeing,"Canoeing Men's Kayak Doubles, 200 metres",2,0,"Canoeing - Canoeing Men's Kayak Doubles, 200 metres",4
LTU,Rowing,Rowing Women's Double Sculls,2,0,Rowing - Rowing Women's Double Sculls,5
MAR,Football,Men,19,0,Football - Men,1
