NOC,Sport,Event,TotalMedals,GoldMedals,SportEvent,rank
CIV,Taekwondo,Taekwondo Women's Welterweight,1,0,Taekwondo - Taekwondo Women's Welterweight,2
CIV,Taekwondo,Men +80kg,1,0,Taekwondo - Men +80kg,3
COL,Weightlifting,Weightlifting Men's Featherweight,1,1,Weightlifting - Weightlifting Men's Featherweight,1
COL,Athletics,Athletics Women's Triple Jump,1,1,Athletics - Athletics Women's Triple Jump,2
COL,Cycling,Cycling Women's BMX,1,1,Cycling - Cycling Women's BMX,3
CPV,Boxing,Men's 51kg,1,0,Boxing - Men's 51kg,1
CRO,Sailing,Sailing Men's Two Person Dinghy,2,2,Sailing - Sailing Men's Two Person Dinghy,1
CRO,Rowing,Rowing Men's Double Sculls,2,2,Rowing - Rowing Men's Double Sculls,2
CRO,Rowing,Men's Pair Team,2,2,Rowing - Men's Pair Team,3
CUB,Canoe Sprint,Men's Canoe Double 1000m Team,2,2,Canoe Sprint - Men's Canoe Double 1000m Team,1
CUB,Wrestling,Men's Greco-Roman 130kg,2,2,Wrestling - Men's Greco-Roman 130kg,2
CUB,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",1,1,"Wrestling - Wrestling Men's Featherweight, Greco-Roman",3
CYP,Sailing,Men's Dinghy,1,0,Sailing - Men's Dinghy,1
CZE,Tennis,Mixed Doubles,2,2,Tennis - Mixed Doubles,1
CZE,Tennis,Women's Doubles Team,2,2,Tennis - Women's Doubles Team,2
CZE,Judo,Judo Men's Half-Heavyweight,1,1,Judo - Judo Men's Half-Heavyweight,3
DEN,Handball,Men,16,16,Handball - Men,1
DEN,Handball,Handball Men's Handball,14,14,Handball - Handball Men's Handball,2
DEN,Cycling Track,Men's Madison Team,2,2,Cycling Track - Men's Madison Team,3
DMA,Athletics,Women's Triple Jump,1,1,Athletics - Women's Triple Jump,1
DOM,Athletics,Women's 400m,2,1,Athletics - Women's 400m,1
DOM,Taekwondo,Taekwondo Men's Flyweight,1,0,Taekwondo - Taekwondo Men's Flyweight,2
DOM,Athletics,4 x 400m Relay Mixed Team,5,0,Athletics - 4 x 400m Relay Mixed Team,3
ECU,Athletics,Men's 20km Race Walk,1,1,Athletics - Men's 20km Race Walk,1
ECU,Cycling Road,Men's Road Race,1,1,Cycling Road - Men's Road Race,2
ECU,Weightlifting,Women's 76kg,1,1,Weightlifting - Women's 76kg,3
EGY,Modern Pentathlon,Men's Individual,2,1,Modern Pentathlon - Men's Individual,1
EGY,Karate,Women's Kumite +61kg,1,1,Karate - Women's Kumite +61kg,2
EGY,Weightlifting,Weightlifting Men's Middleweight,1,0,Weightlifting - Weightlifting Men's Middleweight,3
EOR,Boxing,Women's 75kg,1,0,Boxing - Women's 75kg,1
ESP,Football,Men,22,22,Football - Men,1
ESP,Water Polo,Women,13,13,Water Polo - Women,2
ESP,Canoeing,"Canoeing Men's Kayak Doubles, 200 metres",2,2,"Canoeing - Canoeing Men's Kayak Doubles, 200 metres",3
EST,Fencing,Women's Épée Team,4,4,Fencing - Women's Épée Team,1
EST,Rowing,Rowing Men's Quadruple Sculls,4,0,Rowing - Rowing Men's Quadruple Sculls,2
EST,Fencing,Women's Épée Individual,1,0,Fencing - Women's Épée Individual,3
ETH,Athletics,"Athletics Women's 10,000 metres",2,1,"Athletics - Athletics Women's 10,000 metres",1
ETH,Athletics,"Men's 10,000m",2,1,"Athletics - Men's 10,000m",2
ETH,Athletics,Men's Marathon,1,1,Athletics - Men's Marathon,3
FIJ,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,13,13,Rugby Sevens - Rugby Sevens Men's Rugby Sevens,1
FIJ,Rugby Sevens,Men Team,13,13,Rugby Sevens - Men Team,2
FIJ,Rugby Sevens,Men,14,0,Rugby Sevens - Men,3
FIN,Boxing,Boxing Women's Lightweight,1,0,Boxing - Boxing Women's Lightweight,1
FIN,Boxing,Women's Light (57-60kg),1,0,Boxing - Women's Light (57-60kg),2
FIN,Swimming,Men's 200m Breaststroke,1,0,Swimming - Men's 200m Breaststroke,3
FRA,Judo,Mixed Team,25,25,Judo - Mixed Team,1
FRA,Handball,Men Team,16,16,Handball - Men Team,2
FRA,Handball,Women Team,16,16,Handball - Women Team,3
GBR,Hockey,Hockey Women's Hockey,16,16,Hockey - Hockey Women's Hockey,1
GBR,Rowing,Rowing Men's Coxed Eights,9,9,Rowing - Rowing Men's Coxed Eights,2
GBR,Rowing,Men's Eight,9,9,Rowing - Men's Eight,3
GEO,Judo,Men -90 kg,2,2,Judo - Men -90 kg,1
GEO,Wrestling,"Wrestling Men's Featherweight, Freestyle",1,1,"Wrestling - Wrestling Men's Featherweight, Freestyle",2
GEO,Weightlifting,Weightlifting Men's Super-Heavyweight,2,1,Weightlifting - Weightlifting Men's Super-Heavyweight,3
GER,Football,Football Women's Football,18,18,Football - Football Women's Football,1
GER,Equestrian,Dressage Team,8,8,Equestrian - Dressage Team,2
GER,Cycling Track,Women's Team Pursuit Team,6,6,Cycling Track - Women's Team Pursuit Team,3
GHA,Boxing,Men's Feather (52-57kg),1,0,Boxing - Men's Feather (52-57kg),1
GRE,Athletics,Men's Long Jump,2,2,Athletics - Men's Long Jump,1
GRE,Shooting,"Shooting Women's Sporting Pistol, 25 metres",1,1,"Shooting - Shooting Women's Sporting Pistol, 25 metres",2
GRE,Gymnastics,Gymnastics Men's Rings,1,1,Gymnastics - Gymnastics Men's Rings,3
GRN,Athletics,Athletics Men's 400 metres,1,0,Athletics - Athletics Men's 400 metres,1
GRN,Athletics,Men's Decathlon,1,0,Athletics - Men's Decathlon,2
GRN,Athletics,Men's 400m,1,0,Athletics - Men's 400m,3
GUA,Shooting,Trap Women,1,1,Shooting - Trap Women,1
GUA,Shooting,Trap Men,1,0,Shooting - Trap Men,2
HKG,Fencing,Men's Foil Individual,2,2,Fencing - Men's Foil Individual,1
HKG,Fencing,Women's Épée Individual,1,1,Fencing - Women's Épée Individual,2
HKG,Cycling Track,Women's Sprint,1,0,Cycling Track - Women's Sprint,3
HUN,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",4,4,"Canoeing - Canoeing Women's Kayak Fours, 500 metres",1
HUN,Fencing,Men's Épée Team,4,4,Fencing - Men's Épée Team,2
HUN,Canoe Sprint,Women's Kayak Four 500m Team,4,4,Canoe Sprint - Women's Kayak Four 500m Team,3
INA,Badminton,Badminton Mixed Doubles,2,2,Badminton - Badminton Mixed Doubles,1
INA,Badminton,Women's Doubles Team,2,2,Badminton - Women's Doubles Team,2
INA,Sport Climbing,Men's Speed,1,1,Sport Climbing - Men's Speed,3
IND,Athletics,Men's Javelin Throw,2,1,Athletics - Men's Javelin Throw,1
IND,Wrestling,"Wrestling Women's Lightweight, Freestyle",1,0,"Wrestling - Wrestling Women's Lightweight, Freestyle",2
IND,Badminton,Badminton Women's Singles,1,0,Badminton - Badminton Women's Singles,3
IOA,Shooting,Shooting Men's Double Trap,1,1,Shooting - Shooting Men's Double Trap,1
IOA,Shooting,Shooting Men's Skeet,1,0,Shooting - Shooting Men's Skeet,2
IRI,Wrestling,Men's Greco-Roman 67kg,2,2,Wrestling - Men's Greco-Roman 67kg,1
IRI,Weightlifting,Weightlifting Men's Middle-Heavyweight,1,1,Weightlifting - Weightlifting Men's Middle-Heavyweight,2
IRI,Weightlifting,Weightlifting Men's Light-Heavyweight,1,1,Weightlifting - Weightlifting Men's Light-Heavyweight,3
IRL,Rowing,Lightweight Men's Double Sculls,2,2,Rowing - Lightweight Men's Double Sculls,1
IRL,Rowing,Lightweight Men's Double Sculls Team,2,2,Rowing - Lightweight Men's Double Sculls Team,2
IRL,Boxing,Women's 60kg,1,1,Boxing - Women's 60kg,3
ISR,Rhythmic Gymnastics,Individual All-Around,1,1,Rhythmic Gymnastics - Individual All-Around,1
ISR,Sailing,Men's Windsurfing,1,1,Sailing - Men's Windsurfing,2
ISR,Artistic Gymnastics,Men's Floor Exercise,2,1,Artistic Gymnastics - Men's Floor Exercise,3
ITA,Volleyball,Women,13,13,Volleyball - Women,1
ITA,Cycling Track,Men's Team Pursuit Team,6,6,Cycling Track - Men's Team Pursuit Team,2
ITA,Athletics,Men's 4 x 100m Relay Team,6,6,Athletics - Men's 4 x 100m Relay Team,3
JAM,Athletics,Athletics Men's 4 x 100 metres Relay,6,6,Athletics - Athletics Men's 4 x 100 metres Relay,1
JAM,Athletics,Women's 4 x 100m Relay Team,6,6,Athletics - Women's 4 x 100m Relay Team,2
JAM,Athletics,Athletics Men's 200 metres,1,1,Athletics - Athletics Men's 200 metres,3
JOR,Taekwondo,Taekwondo Men's Featherweight,1,1,Taekwondo - Taekwondo Men's Featherweight,1
JOR,Karate,Men's Kumite -67kg,1,0,Karate - Men's Kumite -67kg,2
JOR,Taekwondo,Men -68kg,1,0,Taekwondo - Men -68kg,3
JPN,Baseball/Softball,Baseball Team,24,24,Baseball/Softball - Baseball Team,1
JPN,Baseball/Softball,Softball Team,15,15,Baseball/Softball - Softball Team,2
JPN,Gymnastics,Gymnastics Men's Team All-Around,5,5,Gymnastics - Gymnastics Men's Team All-Around,3
KAZ,Swimming,Swimming Men's 200 metres Breaststroke,1,1,Swimming - Swimming Men's 200 metres Breaststroke,1
KAZ,Weightlifting,Weightlifting Men's Middleweight,1,1,Weightlifting - Weightlifting Men's Middleweight,2
KAZ,Boxing,Boxing Men's Welterweight,1,1,Boxing - Boxing Men's Welterweight,3
KEN,Athletics,Men's 800m,3,2,Athletics - Men's 800m,1
KEN,Athletics,Women's 1500m,2,2,Athletics - Women's 1500m,2
KEN,Athletics,"Athletics Women's 5,000 metres",2,1,"Athletics - Athletics Women's 5,000 metres",3
KGZ,Boxing,Men's 57kg,1,0,Boxing - Men's 57kg,1
KGZ,Wrestling,Women's Freestyle 68kg,2,0,Wrestling - Women's Freestyle 68kg,2
KGZ,Wrestling,Men's Greco-Roman 77kg,2,0,Wrestling - Men's Greco-Roman 77kg,3
KOR,Fencing,Men's Sabre Team,8,8,Fencing - Men's Sabre Team,1
KOR,Archery,Women's Team,6,6,Archery - Women's Team,2
KOR,Archery,Men's Team,6,6,Archery - Men's Team,3
KOS,Judo,Judo Women's Half-Lightweight,1,1,Judo - Judo Women's Half-Lightweight,1
KOS,Judo,Women -48 kg,1,1,Judo - Women -48 kg,2
KOS,Judo,Women -57 kg,1,1,Judo - Women -57 kg,3
KSA,Karate,Men's Kumite +75kg,1,0,Karate - Men's Kumite +75kg,1
KUW,Shooting,Skeet Men,1,0,Shooting - Skeet Men,1
LAT,3x3 Basketball,Men Team,4,4,3x3 Basketball - Men Team,1
LAT,Weightlifting,Men's 109kg,1,0,Weightlifting - Men's 109kg,2
LCA,Athletics,Women's 100m,1,1,Athletics - Women's 100m,1
LCA,Athletics,Women's 200m,1,0,Athletics - Women's 200m,2
LTU,Weightlifting,Weightlifting Men's Middle-Heavyweight,1,0,Weightlifting - Weightlifting Men's Middle-Heavyweight,1
LTU,Rowing,Rowing Men's Double Sculls,2,0,Rowing - Rowing Men's Double Sculls,2
LTU,Canoeing,"Canoeing Men's Kayak Doubles, 200 metres",2,0,"Canoeing - Canoeing Men's Kayak Doubles, 200 metres",3
MAR,Athletics,Men's 3000m Steeplechase,2,2,Athletics - Men's 3000m Steeplechase,1
MAR,Boxing,Boxing Men's Welterweight,1,0,Boxing - Boxing Men's Welterweight,2
MAR,Football,Men,19,0,Football - Men,3
MAS,Cycling,Cycling Men's Keirin,1,0,Cycling - Cycling Men's Keirin,1
MAS,Badminton,Badminton Mixed Doubles,2,0,Badminton - Badminton Mixed Doubles,2
MAS,Diving,Diving Women's Synchronized Platform,2,0,Diving - Diving Women's Synchronized Platform,3
MDA,Judo,Men -66 kg,1,0,Judo - Men -66 kg,1
MDA,Wrestling,Women's Freestyle 57kg,1,0,Wrestling - Women's Freestyle 57kg,2
MDA,Canoe Sprint,Men's Canoe Single 1000m,2,0,Canoe Sprint - Men's Canoe Single 1000m,3
MEX,Modern Pentathlon,Modern Pentathlon Men's Individual,1,0,Modern Pentathlon - Modern Pentathlon Men's Individual,1
MEX,Athletics,Athletics Women's 20 kilometres Walk,1,0,Athletics - Athletics Women's 20 kilometres Walk,2
MEX,Taekwondo,Taekwondo Women's Heavyweight,1,0,Taekwondo - Taekwondo Women's Heavyweight,3
MGL,Boxing,Boxing Men's Lightweight,1,0,Boxing - Boxing Men's Lightweight,1
MGL,Judo,Judo Women's Lightweight,1,0,Judo - Judo Women's Lightweight,2
MGL,Judo,Men -73 kg,1,0,Judo - Men -73 kg,3
MKD,Taekwondo,Men +80kg,1,0,Taekwondo - Men +80kg,1
NAM,Athletics,Women's 200m,1,0,Athletics - Women's 200m,1
NED,Hockey,Women Team,18,18,Hockey - Women Team,1
NED,Hockey,Men,18,18,Hockey - Men,2
NED,Hockey,Women,17,17,Hockey - Women,3
NGR,Football,Football Men's Football,18,0,Football - Football Men's Football,1
NGR,Athletics,Women's Long Jump,1,0,Athletics - Women's Long Jump,2
NGR,Wrestling,Women's Freestyle 68kg,1,0,Wrestling - Women's Freestyle 68kg,3
NIG,Taekwondo,Taekwondo Men's Heavyweight,1,0,Taekwondo - Taekwondo Men's Heavyweight,1
NOR,Handball,Women,15,15,Handball - Women,1
NOR,Beach Volleyball,Men Team,2,2,Beach Volleyball - Men Team,2
NOR,Athletics,Men's 5000m,1,1,Athletics - Men's 5000m,3
NZL,Rugby Sevens,Women Team,13,13,Rugby Sevens - Women Team,1
NZL,Rugby Sevens,Women,12,12,Rugby Sevens - Women,2
NZL,Rowing,Men's Eight Team,9,9,Rowing - Men's Eight Team,3
PAK,Athletics,Men's Javelin Throw,1,1,Athletics - Men's Javelin Throw,1
PAN,Boxing,Women's 75kg,1,0,Boxing - Women's 75kg,1
PER,Sailing,Men's Dinghy,1,0,Sailing - Men's Dinghy,1
PHI,Artistic Gymnastics,Men's Floor Exercise,1,1,Artistic Gymnastics - Men's Floor Exercise,1
PHI,Weightlifting,Women's 55kg,1,1,Weightlifting - Women's 55kg,2
PHI,Artistic Gymnastics,Men's Vault,1,1,Artistic Gymnastics - Men's Vault,3
POL,Athletics,4 x 400m Relay Mixed Team,11,11,Athletics - 4 x 400m Relay Mixed Team,1
POL,Rowing,Rowing Women's Double Sculls,2,2,Rowing - Rowing Women's Double Sculls,2
POL,Athletics,Athletics Women's Hammer Throw,1,1,Athletics - Athletics Women's Hammer Throw,3
POR,Cycling Track,Men's Madison,2,2,Cycling Track - Men's Madison,1
POR,Athletics,Men's Triple Jump,2,1,Athletics - Men's Triple Jump,2
POR,Judo,Judo Women's Lightweight,1,0,Judo - Judo Women's Lightweight,3
PRK,Weightlifting,Weightlifting Women's Heavyweight,1,1,Weightlifting - Weightlifting Women's Heavyweight,1
PRK,Gymnastics,Gymnastics Men's Horse Vault,1,1,Gymnastics - Gymnastics Men's Horse Vault,2
PRK,Weightlifting,Weightlifting Women's Middleweight,1,0,Weightlifting - Weightlifting Women's Middleweight,3
PUR,Tennis,Tennis Women's Singles,1,1,Tennis - Tennis Women's Singles,1
PUR,Athletics,Women's 100m Hurdles,2,1,Athletics - Women's 100m Hurdles,2
PUR,Wrestling,Men's Freestyle 65kg,1,0,Wrestling - Men's Freestyle 65kg,3
QAT,Weightlifting,Men's 96kg,1,1,Weightlifting - Men's 96kg,1
QAT,Athletics,Men's High Jump,2,1,Athletics - Men's High Jump,2
QAT,Athletics,Athletics Men's High Jump,1,0,Athletics - Athletics Men's High Jump,3
ROC,Artistic Swimming,Team,8,8,Artistic Swimming - Team,1
ROC,Artistic Gymnastics,Men's Team,4,4,Artistic Gymnastics - Men's Team,2
ROC,Artistic Gymnastics,Women's Team,4,4,Artistic Gymnastics - Women's Team,3
ROU,Rowing,Women's Eight,9,9,Rowing - Women's Eight,1
ROU,Fencing,"Fencing Women's epee, Team",4,4,"Fencing - Fencing Women's epee, Team",2
ROU,Rowing,Men's Double Sculls,2,2,Rowing - Men's Double Sculls,3
RSA,Athletics,Athletics Women's 800 metres,1,1,Athletics - Athletics Women's 800 metres,1
RSA,Athletics,Athletics Men's 400 metres,1,1,Athletics - Athletics Men's 400 metres,2
RSA,Swimming,Women's 100m Breaststroke,2,1,Swimming - Women's 100m Breaststroke,3
RUS,Handball,Handball Women's Handball,15,15,Handball - Handball Women's Handball,1
RUS,Synchronized Swimming,Synchronized Swimming Women's Team,9,9,Synchronized Swimming - Synchronized Swimming Women's Team,2
RUS,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,5,5,Rhythmic Gymnastics - Rhythmic Gymnastics Women's Group,3
SGP,Swimming,Swimming Men's 100 metres Butterfly,1,1,Swimming - Swimming Men's 100 metres Butterfly,1
SGP,Sailing,Men's Kite,1,0,Sailing - Men's Kite,2
SLO,Judo,Judo Women's Half-Middleweight,1,1,Judo - Judo Women's Half-Middleweight,1
SLO,Canoe Slalom,Men's Canoe,1,1,Canoe Slalom - Men's Canoe,2
SLO,Cycling Road,Men's Individual Time Trial,1,1,Cycling Road - Men's Individual Time Trial,3
SMR,Wrestling,Men's Freestyle 86kg,1,0,Wrestling - Men's Freestyle 86kg,1
SMR,Shooting,Trap Mixed Team,2,0,Shooting - Trap Mixed Team,2
SMR,Shooting,Trap Women,1,0,Shooting - Trap Women,3
SRB,Water Polo,Water Polo Men's Water Polo,13,13,Water Polo - Water Polo Men's Water Polo,1
SRB,Water Polo,Men Team,13,13,Water Polo - Men Team,2
SRB,Water Polo,Men,13,13,Water Polo - Men,3
SUI,Rowing,Rowing Men's Lightweight Coxless Fours,4,4,Rowing - Rowing Men's Lightweight Coxless Fours,1
SUI,Shooting,50m Rifle 3 Positions Women,2,2,Shooting - 50m Rifle 3 Positions Women,2
SUI,Cycling,Cycling Men's Individual Time Trial,1,1,Cycling - Cycling Men's Individual Time Trial,3
SVK,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",2,2,"Canoeing - Canoeing Men's Canadian Doubles, Slalom",1
SVK,Athletics,Athletics Men's 50 kilometres Walk,1,1,Athletics - Athletics Men's 50 kilometres Walk,2
SVK,Shooting,Trap Women,1,1,Shooting - Trap Women,3
SWE,Equestrian,Jumping Team,4,4,Equestrian - Jumping Team,1
SWE,Athletics,Men's Pole Vault,2,2,Athletics - Men's Pole Vault,2
SWE,Beach Volleyball,Men,2,2,Beach Volleyball - Men,3
SYR,Weightlifting,Men's +109kg,1,0,Weightlifting - Men's +109kg,1
THA,Taekwondo,Women -49kg,2,2,Taekwondo - Women -49kg,1
THA,Weightlifting,Weightlifting Women's Lightweight,2,1,Weightlifting - Weightlifting Women's Lightweight,2
THA,Weightlifting,Weightlifting Women's Flyweight,1,1,Weightlifting - Weightlifting Women's Flyweight,3
TJK,Athletics,Athletics Men's Hammer Throw,1,1,Athletics - Athletics Men's Hammer Throw,1
TJK,Judo,Men -81 kg,1,0,Judo - Men -81 kg,2
TJK,Boxing,Men's 92kg,1,0,Boxing - Men's 92kg,3
TKM,Weightlifting,Women's 59kg,1,0,Weightlifting - Women's 59kg,1
TPE,Badminton,Men's Doubles Team,2,2,Badminton - Men's Doubles Team,1
TPE,Badminton,Men's Doubles,2,2,Badminton - Men's Doubles,2
TPE,Weightlifting,Weightlifting Women's Featherweight,1,1,Weightlifting - Weightlifting Women's Featherweight,3
TTO,Athletics,Athletics Men's Javelin Throw,1,0,Athletics - Athletics Men's Javelin Throw,1
TUN,Taekwondo,Men -80kg,1,1,Taekwondo - Men -80kg,1
TUN,Swimming,Men's 400m Freestyle,1,1,Swimming - Men's 400m Freestyle,2
TUN,Wrestling,"Wrestling Women's Lightweight, Freestyle",1,0,"Wrestling - Wrestling Women's Lightweight, Freestyle",3
TUR,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",1,1,"Wrestling - Wrestling Men's Super-Heavyweight, Freestyle",1
TUR,Boxing,Women's Welter (64-69kg),1,1,Boxing - Women's Welter (64-69kg),2
TUR,Archery,Men's Individual,1,1,Archery - Men's Individual,3
UAE,Judo,Judo Men's Half-Middleweight,1,0,Judo - Judo Men's Half-Middleweight,1
UGA,Athletics,Women's 3000m Steeplechase,2,1,Athletics - Women's 3000m Steeplechase,1
UGA,Athletics,"Men's 10,000m",3,1,"Athletics - Men's 10,000m",2
UGA,Athletics,Men's 5000m,1,1,Athletics - Men's 5000m,3
UKR,Fencing,Women's Sabre Team,4,4,Fencing - Women's Sabre Team,1
UKR,Canoeing,"Canoeing Men's Canadian Singles, 200 metres",1,1,"Canoeing - Canoeing Men's Canadian Singles, 200 metres",2
UKR,Gymnastics,Gymnastics Men's Parallel Bars,1,1,Gymnastics - Gymnastics Men's Parallel Bars,3
USA,Football,Women,20,20,Football - Women,1
USA,Water Polo,Water Polo Women's Water Polo,13,13,Water Polo - Water Polo Women's Water Polo,2
USA,Water Polo,Women Team,13,13,Water Polo - Women Team,3
UZB,Taekwondo,Men -68kg,2,2,Taekwondo - Men -68kg,1
UZB,Boxing,Boxing Men's Light-Welterweight,1,1,Boxing - Boxing Men's Light-Welterweight,2
UZB,Boxing,Boxing Men's Light-Flyweight,1,1,Boxing - Boxing Men's Light-Flyweight,3
VEN,Athletics,Women's Triple Jump,1,1,Athletics - Women's Triple Jump,1
VEN,Cycling,Cycling Women's BMX,1,0,Cycling - Cycling Women's BMX,2
VEN,Boxing,Boxing Men's Flyweight,1,0,Boxing - Boxing Men's Flyweight,3
VIE,Shooting,"Shooting Men's Air Pistol, 10 metres",1,1,"Shooting - Shooting Men's Air Pistol, 10 metres",1
VIE,Shooting,"Shooting Men's Free Pistol, 50 metres",1,0,"Shooting - Shooting Men's Free Pistol, 50 metres",2
ZAM,Athletics,Men's 400m,1,0,Athletics - Men's 400m,1
